"seqid","window_length","window_start","window_end","window_type","window_origin","KD_hydropathy","KD_max_hydropathy","rose_hydropathy","rose_max_hydropathy"
"YCR101C",13,3,16,"SP","phobius",40.2888888888889,2.87777777777778,11.6822222222222,0.834444444444444
"YHR215W",8,4,12,"SP","phobius",17,1.88888888888889,7,0.777777777777778
"YBL095W",22,12,34,"TM","phobius",46.2555555555556,2.01111111111111,18.4255555555556,0.801111111111111
"YDR329C",21,18,39,"TM","phobius",50.6,2.3,17.7955555555556,0.808888888888889
"YCR061W",11,4,15,"SP","phobius",26.5333333333333,2.21111111111111,9.69333333333333,0.807777777777778
"YPL119C-A",22,20,42,"TM","phobius",58.7777777777778,2.55555555555556,19.1922222222222,0.834444444444444
"YBR067C",11,7,18,"SP","phobius",32.5333333333333,2.71111111111111,9.64,0.803333333333333
"YDL222C",21,6,27,"TM","phobius",69.4222222222222,3.15555555555556,18.5533333333333,0.843333333333333
"YMR296C",21,25,46,"TM","phobius",27.8666666666667,1.26666666666667,17.82,0.81
"YFR018C",10,11,21,"SP","phobius",29.3333333333333,2.66666666666667,8.99555555555555,0.817777777777778
"YKL183C-A",27,12,39,"TM","phobius",70.3111111111111,2.51111111111111,23.3644444444444,0.834444444444445
"YGR121C",20,20,40,"TM","phobius",58.5666666666667,2.78888888888889,17.2666666666667,0.822222222222222
"YML075C",20,29,49,"TM","phobius",62.5333333333333,2.97777777777778,17.5933333333333,0.837777777777778
"YER061C",11,5,16,"SP","phobius",29.2,2.43333333333333,9.81333333333333,0.817777777777778
"YDR262W",11,7,18,"SP","phobius",26.6666666666667,2.22222222222222,9.92,0.826666666666667
"YLR411W",16,44,60,"TM","phobius",52.1333333333333,3.06666666666667,14.3744444444444,0.845555555555556
"YPR026W",18,42,60,"TM","phobius",63.5444444444444,3.34444444444444,16.2766666666667,0.856666666666667
"YMR274C",18,6,24,"TM","phobius",53.4111111111111,2.81111111111111,15.77,0.83
"YJL038C",16,6,22,"TM","phobius",43.0666666666667,2.53333333333333,14.1288888888889,0.831111111111111
"YHR028C",18,27,45,"TM","phobius",69.4555555555556,3.65555555555556,16.1077777777778,0.847777777777778
"YIL043C",19,6,25,"TM","phobius",85.3333333333333,4.26666666666667,17.2888888888889,0.864444444444445
"YGR231C",21,38,59,"TM","phobius",47.9111111111111,2.17777777777778,17.6244444444444,0.801111111111111
"YDR402C",10,6,16,"SP","phobius",34.3444444444444,3.12222222222222,9.31333333333333,0.846666666666667
"YNR044W",11,8,19,"SP","phobius",27.6,2.3,9.8,0.816666666666667
"YOR365C",7,12,19,"SP","phobius",21.0666666666667,2.63333333333333,6.63111111111111,0.828888888888889
"YIL005W",11,8,19,"SP","phobius",31.0666666666667,2.58888888888889,9.98666666666667,0.832222222222222
"YNR040W",18,41,59,"TM","phobius",44.3333333333333,2.33333333333333,15.2844444444444,0.804444444444444
"YDR246W-A",7,7,14,"SP","phobius",13.8666666666667,1.73333333333333,6.33777777777778,0.792222222222222
"YBR092C",8,4,12,"SP","phobius",19.7,2.18888888888889,7.07,0.785555555555556
"YJL028W",28,32,60,"TM","phobius",80.5555555555556,2.77777777777778,24.65,0.85
"YPR114W",19,38,57,"TM","phobius",38.2222222222222,1.91111111111111,16.9777777777778,0.848888888888889
"YPR091C",21,6,27,"TM","phobius",57.2,2.6,18.0644444444444,0.821111111111111
"YKL051W",22,12,34,"TM","phobius",62.1,2.7,19.5755555555556,0.851111111111111
"YLR308W",10,10,20,"SP","phobius",27.1333333333333,2.46666666666667,9.04444444444444,0.822222222222222
"YPR121W",11,2,13,"SP","phobius",38.1333333333333,3.17777777777778,10.2,0.85
"YMR148W",20,7,27,"TM","phobius",59.5,2.83333333333333,17.5933333333333,0.837777777777778
"YLR342W-A",19,6,25,"TM","phobius",45.7777777777778,2.28888888888889,16.4222222222222,0.821111111111111
"YCR044C",11,3,14,"SP","phobius",39.0666666666667,3.25555555555556,10.1333333333333,0.844444444444445
"YIL040W",18,40,58,"TM","phobius",52.7777777777778,2.77777777777778,16.0444444444444,0.844444444444444
"YBR147W",22,12,34,"TM","phobius",72.8333333333333,3.16666666666667,20.1633333333333,0.876666666666667
"YLR065C",17,20,37,"TM","phobius",43.2,2.4,14.6,0.811111111111111
"YNL280C",22,12,34,"TM","phobius",55.2,2.4,18.63,0.81
"YIL176C",11,4,15,"SP","phobius",29.0666666666667,2.42222222222222,9.38666666666667,0.782222222222222
"YBR042C",21,12,33,"TM","phobius",61.8444444444445,2.81111111111111,18.4311111111111,0.837777777777778
"YBR162C",10,8,18,"SP","phobius",25.6666666666667,2.33333333333333,8.8,0.8
"YKL021C",16,6,22,"TM","phobius",47.2222222222222,2.77777777777778,14.3933333333333,0.846666666666667
"YNR062C",21,16,37,"TM","phobius",60.3777777777778,2.74444444444444,18.6266666666667,0.846666666666667
"YJL034W",17,12,29,"TM","phobius",56,3.11111111111111,15.08,0.837777777777778
"YHR057C",11,3,14,"SP","phobius",30.6666666666667,2.55555555555556,10.32,0.86
"YOL162W",17,6,23,"TM","phobius",37.8,2.1,14.34,0.796666666666667
"YLR385C",9,7,16,"SP","phobius",31.2222222222222,3.12222222222222,8.27777777777778,0.827777777777778
"YER185W",22,20,42,"TM","phobius",90.7222222222222,3.94444444444444,20.01,0.87
"YGL022W",20,15,35,"TM","phobius",65.8,3.13333333333333,17.6166666666667,0.838888888888889
"YDR453C",21,34,55,"TM","phobius",61.1111111111111,2.77777777777778,17.8444444444444,0.811111111111111
"YPL154C",11,6,17,"SP","phobius",36.2666666666667,3.02222222222222,9.78666666666667,0.815555555555555
"YNL291C",11,4,15,"SP","phobius",32.8,2.73333333333333,10.12,0.843333333333333
"YOL107W",18,25,43,"TM","phobius",42.8555555555556,2.25555555555556,15.6644444444444,0.824444444444444
"YHR026W",18,20,38,"TM","phobius",67.7666666666667,3.56666666666667,16.1711111111111,0.851111111111111
"YGR028W",20,7,27,"TM","phobius",42.4666666666667,2.02222222222222,16.5666666666667,0.788888888888889
"YNR018W",18,20,38,"TM","phobius",45.3888888888889,2.38888888888889,15.3266666666667,0.806666666666667
"YDR525W-A",16,6,22,"TM","phobius",59.8777777777778,3.52222222222222,14.6011111111111,0.858888888888889
"YNL252C",5,10,15,"SP","phobius",5.66666666666667,0.944444444444444,4.42,0.736666666666667
"YGR282C",11,7,18,"SP","phobius",21.6,1.8,9.29333333333333,0.774444444444444
