seqid,phobius_start,phobius_end,phobius_type
SPAC1002.03c.1,1,25,SP
SPAC1002.11.1,20,37,TM
SPAC1002.13c.1,1,18,SP
SPAC1006.01.1,1,20,SP
SPAC1006.05c.1,6,23,TM
SPAC1039.02.1,1,26,SP
SPAC1039.11c.1,1,30,SP
SPAC105.01c.1,20,39,TM
SPAC1071.03c.1,20,40,TM
SPAC1071.04c.1,37,57,TM
SPAC1071.08.1,1,20,SP
SPAC10F6.03c.1,1,20,SP
SPAC10F6.12c.1,7,32,TM
SPAC10F6.16.1,1,21,SP
SPAC1142.05.1,1,24,SP
SPAC11D3.09.1,1,20,SP
SPAC11E3.10.1,15,31,TM
SPAC11E3.13c.1,1,22,SP
SPAC11H11.02c.1,12,33,TM
SPAC1250.02.1,12,30,TM
SPAC1296.03c.1,1,22,SP
SPAC12B10.02c.1,41,59,TM
SPAC12B10.08c.1,25,42,TM
SPAC12B10.11.1,33,58,TM
SPAC12B10.16c.1,1,17,SP
SPAC12G12.12.1,34,55,TM
SPAC1327.01c.1,1,18,SP
SPAC139.04c.1,1,18,SP
SPAC1399.06.1,1,21,SP
SPAC13A11.02c.1,39,57,TM
SPAC13C5.06c.1,1,23,SP
SPAC13F5.05.1,1,24,SP
SPAC13G6.03.1,6,24,TM
SPAC13G6.10c.1,1,18,SP
SPAC13G6.11c.1,20,38,TM
SPAC13G7.04c.1,1,21,SP
SPAC144.10c.1,19,37,TM
SPAC144.18.1,12,30,TM
SPAC1486.02c.1,1,32,SP
SPAC1486.08.1,20,40,TM
SPAC14C4.09.1,1,20,SP
SPAC1527.01.1,1,22,SP
SPAC1565.01.1,20,38,TM
SPAC15A10.05c.1,1,25,SP
SPAC15A10.06.1,33,52,TM
SPAC15A10.09c.1,12,32,TM
SPAC15A10.17.1,12,35,TM
SPAC15E1.02c.1,12,33,TM
SPAC15E1.04.1,31,54,TM
SPAC1639.02c.1,12,29,TM
SPAC167.01.1,1,30,SP
SPAC167.02.1,30,46,TM
SPAC167.09.1,1,18,SP
SPAC1687.02.1,6,25,TM
SPAC1687.07.1,6,25,TM
SPAC1687.08.1,6,27,TM
SPAC1687.16c.1,35,58,TM
SPAC1687.17c.1,14,34,TM
SPAC16E8.02.1,23,44,TM
SPAC16E8.05c.1,1,23,SP
SPAC1705.03c.1,1,19,SP
SPAC1782.02c.1,7,25,TM
SPAC1782.12c.1,37,57,TM
SPAC1783.02c.1,32,56,TM
SPAC1786.02.1,1,19,SP
SPAC1786.03.1,31,50,TM
SPAC17A2.02c.1,40,59,TM
SPAC17A2.10c.1,26,47,TM
SPAC17A5.04c.1,1,17,SP
SPAC17A5.08.1,1,20,SP
SPAC17C9.07.1,6,25,TM
SPAC17C9.08.1,6,27,TM
SPAC17C9.10.1,20,38,TM
SPAC17G6.02c.1,12,33,TM
SPAC17G6.03.1,1,22,SP
SPAC17G8.08c.1,1,19,SP
SPAC17G8.11c.1,6,32,TM
SPAC17H9.01.1,1,20,SP
SPAC17H9.12c.1,12,28,TM
SPAC17H9.14c.1,1,19,SP
SPAC1834.05.1,1,29,SP
SPAC1834.10c.1,40,58,TM
SPAC1851.02.1,6,25,TM
SPAC186.01.1,1,21,SP
SPAC186.03.1,1,16,SP
SPAC186.08c.1,20,50,TM
SPAC18B11.03c.1,21,39,TM
SPAC18B11.08c.1,39,59,TM
SPAC1952.01.1,1,26,SP
SPAC1952.10c.1,23,43,TM
SPAC19A8.04.1,26,45,TM
SPAC19A8.09.1,6,22,TM
SPAC19A8.14.1,6,28,TM
SPAC19B12.02c.1,1,19,SP
SPAC19B12.06c.1,20,45,TM
SPAC19D5.02c.1,1,17,SP
SPAC19D5.10c.1,6,31,TM
SPAC19G12.10c.1,1,18,SP
SPAC19G12.16c.1,1,19,SP
SPAC1A6.03c.1,1,19,SP
SPAC1A6.04c.1,1,21,SP
SPAC1A6.06c.1,16,40,TM
SPAC1A6.10.1,31,50,TM
SPAC1B2.06.1,29,52,TM
SPAC1B3.10c.1,1,36,SP
SPAC1B3.14.1,12,34,TM
SPAC1B3.18c.1,12,33,TM
SPAC1B3.21.1,20,39,TM
SPAC1D4.05c.1,20,42,TM
SPAC1D4.08.1,12,34,TM
SPAC1F5.02.1,1,22,SP
SPAC1F5.03c.1,6,24,TM
SPAC1F5.06.1,1,26,SP
SPAC1F5.07c.1,1,16,SP
SPAC1F5.08c.1,1,24,SP
SPAC1F7.03.1,1,23,SP
SPAC1F7.07c.1,1,21,SP
SPAC1F7.08.1,1,22,SP
SPAC1F8.01.1,1,21,SP
SPAC1F8.02c.1,1,20,SP
