seqid,phobius_start,phobius_end,phobius_type
UMAG_01210,6,17,SP
UMAG_00187,6,16,SP
UMAG_06480,41,59,TM
UMAG_03384,42,59,TM
UMAG_03924,5,16,SP
UMAG_04051,3,11,SP
UMAG_05074,25,48,TM
UMAG_02224,21,46,TM
UMAG_01908,18,29,SP
UMAG_05439,15,27,SP
UMAG_05318,8,19,SP
UMAG_11908,6,17,SP
UMAG_04601,10,25,SP
UMAG_11624,34,55,TM
UMAG_00740,6,17,SP
UMAG_04637,6,28,TM
UMAG_11254,6,22,TM
UMAG_10365,40,59,TM
UMAG_11444,7,18,SP
UMAG_02993,41,59,TM
UMAG_04107,34,55,TM
UMAG_10652,2,12,SP
UMAG_00967,7,18,SP
UMAG_00876,4,15,SP
UMAG_12127,2,15,SP
UMAG_04040,4,14,SP
UMAG_00192,42,59,TM
UMAG_11563,13,24,SP
UMAG_11831,3,16,SP
UMAG_12226,7,18,SP
UMAG_11765,6,16,SP
UMAG_15073,16,27,SP
UMAG_03416,9,20,SP
UMAG_05310,6,17,SP
UMAG_12062,10,20,SP
UMAG_03467,2,10,SP
UMAG_11097,33,54,TM
UMAG_05109,4,15,SP
UMAG_02474,3,13,SP
UMAG_00634,14,22,SP
UMAG_11305,7,15,SP
UMAG_12184,7,18,SP
UMAG_00715,8,19,SP
UMAG_05222,7,18,SP
UMAG_01138,20,41,TM
UMAG_12237,3,13,SP
UMAG_05589,26,43,TM
UMAG_02196,7,18,SP
UMAG_10821,4,12,SP
UMAG_00684,6,21,SP
UMAG_05755,5,12,SP
UMAG_10320,22,45,TM
UMAG_04035,4,19,SP
UMAG_02127,10,17,SP
UMAG_03753,6,17,SP
UMAG_03476,12,32,TM
UMAG_00558,6,17,SP
UMAG_01705,4,15,SP
UMAG_10221,7,18,SP
UMAG_04247,3,15,SP
UMAG_10814,12,28,TM
UMAG_06120,7,18,SP
UMAG_05928,3,14,SP
UMAG_12147,20,40,TM
UMAG_01823,5,16,SP
UMAG_10262,12,34,TM
UMAG_05528,5,16,SP
UMAG_01854,5,16,SP
UMAG_02381,4,15,SP
UMAG_02219,6,30,TM
UMAG_01305,3,10,SP
UMAG_10425,8,19,SP
UMAG_11480,2,9,SP
UMAG_11516,23,42,TM
UMAG_02016,29,49,TM
UMAG_02311,7,19,SP
UMAG_01789,12,32,TM
UMAG_03265,9,20,SP
UMAG_02320,6,23,TM
UMAG_06181,7,20,SP
UMAG_04893,8,19,SP
UMAG_02006,5,16,SP
UMAG_00581,10,21,SP
UMAG_11120,38,54,TM
UMAG_02083,4,11,SP
UMAG_02374,26,47,TM
UMAG_04383,5,17,SP
UMAG_15018,14,25,SP
UMAG_11248,40,59,TM
UMAG_01213,2,13,SP
UMAG_06141,2,12,SP
UMAG_12244,29,36,SP
UMAG_00265,7,18,SP
UMAG_10208,7,18,SP
UMAG_02981,3,14,SP
UMAG_12302,4,15,SP
UMAG_05812,6,23,TM
UMAG_10548,10,21,SP
UMAG_11538,7,14,SP
UMAG_10160,18,33,SP
UMAG_04117,32,53,TM
UMAG_00813,11,22,SP
UMAG_10587,13,24,SP
UMAG_02756,2,12,SP
UMAG_05173,3,22,SP
UMAG_10554,5,16,SP
UMAG_12045,6,17,SP
UMAG_04309,3,14,SP
UMAG_10030,8,18,SP
UMAG_05930,8,16,SP
UMAG_11801,10,18,SP
UMAG_11569,9,20,SP
UMAG_00411,7,18,SP
UMAG_12206,7,28,TM
UMAG_06127,10,20,SP
UMAG_11651,20,45,TM
UMAG_00271,9,20,SP
UMAG_01022,3,13,SP
UMAG_05633,2,13,SP
UMAG_10017,7,24,TM
UMAG_11267,35,59,TM
UMAG_02203,12,31,TM
UMAG_01994,41,56,TM
UMAG_11172,24,45,TM
UMAG_03433,23,33,SP
UMAG_02611,4,15,SP
UMAG_01982,41,58,TM
UMAG_15072,13,28,SP
UMAG_05953,6,17,SP
UMAG_05229,5,15,SP
UMAG_03344,9,20,SP
UMAG_06146,4,16,SP
UMAG_04097,15,36,TM
UMAG_05889,32,56,TM
UMAG_02285,12,32,TM
UMAG_02134,9,20,SP
UMAG_03392,3,14,SP
UMAG_10076,8,19,SP
UMAG_03202,3,14,SP
UMAG_03076,6,14,SP
UMAG_02998,4,12,SP
UMAG_01234,7,18,SP
UMAG_01920,16,34,TM
UMAG_10773,3,11,SP
UMAG_05787,20,40,TM
UMAG_05167,6,30,TM
UMAG_12094,7,17,SP
UMAG_02538,6,17,SP
UMAG_03628,19,29,SP
UMAG_04818,9,20,SP
UMAG_05312,6,17,SP
UMAG_01987,5,18,SP
UMAG_15002,12,30,TM
UMAG_12356,3,14,SP
UMAG_05361,17,35,SP
UMAG_00891,12,23,SP
UMAG_10940,5,16,SP
UMAG_11979,27,45,TM
UMAG_11370,10,21,SP
UMAG_03744,15,26,SP
UMAG_06158,7,18,SP
UMAG_05570,27,45,TM
UMAG_10632,3,15,SP
UMAG_05558,20,41,TM
UMAG_03082,20,47,TM
UMAG_02019,4,14,SP
UMAG_11950,4,11,SP
UMAG_05729,39,59,TM
UMAG_02400,19,30,SP
UMAG_05411,21,48,TM
UMAG_06344,4,14,SP
UMAG_04457,32,54,TM
UMAG_06416,32,57,TM
UMAG_03975,7,15,SP
UMAG_02275,9,18,SP
UMAG_01173,2,10,SP
UMAG_02298,4,15,SP
UMAG_05446,12,35,TM
UMAG_03382,7,15,SP
UMAG_04402,2,10,SP
UMAG_12202,3,13,SP
UMAG_03411,5,16,SP
UMAG_02282,27,46,TM
UMAG_03689,3,14,SP
UMAG_05371,10,21,SP
UMAG_11594,10,20,SP
UMAG_12216,7,18,SP
UMAG_04695,37,55,TM
UMAG_00081,7,15,SP
UMAG_00064,5,13,SP
UMAG_05305,4,22,SP
UMAG_00829,12,31,TM
UMAG_11910,6,17,SP
UMAG_02853,6,18,SP
UMAG_01298,4,15,SP
UMAG_12281,4,15,SP
UMAG_01429,12,38,TM
UMAG_03751,9,22,SP
UMAG_03749,6,16,SP
UMAG_02226,9,20,SP
UMAG_00629,15,26,SP
UMAG_03223,8,19,SP
UMAG_03297,5,15,SP
UMAG_04114,6,18,SP
UMAG_11649,8,18,SP
UMAG_02383,6,25,TM
