seqid,phobius_start,phobius_end,phobius_type
BDEG_21963,6,14,SP
BDEG_21720,3,13,SP
BDEG_26468,6,24,TM
BDEG_26818,6,26,TM
BDEG_22133,3,14,SP
BDEG_23230,3,13,SP
BDEG_28511,28,48,TM
BDEG_27788,6,23,TM
BDEG_28676,3,15,SP
BDEG_23948,4,15,SP
BDEG_23826,4,15,SP
BDEG_23111,3,15,SP
BDEG_28724,3,13,SP
BDEG_26981,3,15,SP
BDEG_23635,6,25,TM
BDEG_20421,2,10,SP
BDEG_27467,2,10,SP
BDEG_21285,7,28,TM
BDEG_23287,4,14,SP
BDEG_27748,5,16,SP
BDEG_24256,2,12,SP
BDEG_23080,34,52,TM
BDEG_24037,10,21,SP
BDEG_26154,5,16,SP
BDEG_20076,10,20,SP
BDEG_25092,3,15,SP
BDEG_25668,11,22,SP
BDEG_23164,6,13,SP
BDEG_22599,34,52,TM
BDEG_26796,20,44,TM
BDEG_20362,21,32,SP
BDEG_23801,39,57,TM
BDEG_20765,3,15,SP
BDEG_21105,10,20,SP
BDEG_24937,5,12,SP
BDEG_27222,22,42,TM
BDEG_24516,5,15,SP
BDEG_27492,4,15,SP
BDEG_25981,20,42,TM
BDEG_20869,20,41,TM
BDEG_27392,31,53,TM
BDEG_24578,9,20,SP
BDEG_25500,37,47,SP
BDEG_20369,6,27,TM
BDEG_21918,3,14,SP
BDEG_23921,3,15,SP
BDEG_28270,2,13,SP
BDEG_20402,12,33,TM
BDEG_20473,16,27,SP
BDEG_22590,3,13,SP
BDEG_25602,39,57,TM
BDEG_25509,21,38,TM
BDEG_28447,10,18,SP
BDEG_26332,42,59,TM
BDEG_27902,3,14,SP
BDEG_23609,7,28,TM
BDEG_21415,23,42,TM
BDEG_26167,2,10,SP
BDEG_26610,16,34,TM
BDEG_21526,12,41,TM
BDEG_26742,14,25,SP
BDEG_22702,8,16,SP
BDEG_26243,7,18,SP
BDEG_25130,15,36,TM
BDEG_24204,2,12,SP
BDEG_26600,4,15,SP
BDEG_21799,29,50,TM
BDEG_21052,6,25,TM
BDEG_25138,40,59,TM
BDEG_28489,2,12,SP
BDEG_24344,14,25,SP
BDEG_22573,3,13,SP
BDEG_26424,6,29,TM
BDEG_24892,3,14,SP
BDEG_27089,4,12,SP
BDEG_26824,10,21,SP
BDEG_22535,3,14,SP
BDEG_28712,3,15,SP
BDEG_22377,12,33,TM
BDEG_20371,6,27,TM
BDEG_25786,4,15,SP
BDEG_21734,3,14,SP
BDEG_27502,3,15,SP
BDEG_28297,3,13,SP
BDEG_26553,37,59,TM
BDEG_22752,5,11,SP
BDEG_25472,16,36,TM
BDEG_27728,4,16,SP
BDEG_23770,16,37,TM
BDEG_25728,8,18,SP
BDEG_28308,3,14,SP
BDEG_23888,3,14,SP
BDEG_26746,3,15,SP
BDEG_20410,3,17,SP
BDEG_28696,3,15,SP
BDEG_26783,15,37,TM
BDEG_25992,2,13,SP
BDEG_22413,7,17,SP
BDEG_24907,41,59,TM
BDEG_24609,20,38,TM
BDEG_23363,42,59,TM
BDEG_26122,27,38,SP
BDEG_27973,4,17,SP
BDEG_27786,5,16,SP
BDEG_22920,6,14,SP
BDEG_27238,4,13,SP
BDEG_20695,42,59,TM
BDEG_24694,20,41,TM
BDEG_20429,12,37,TM
BDEG_28428,7,17,SP
BDEG_25950,10,20,SP
BDEG_22694,4,15,SP
BDEG_27400,2,12,SP
BDEG_23993,5,15,SP
BDEG_28702,3,15,SP
BDEG_21618,3,10,SP
BDEG_22903,3,14,SP
BDEG_22769,2,13,SP
BDEG_24043,12,33,TM
BDEG_23013,3,14,SP
BDEG_27150,6,14,SP
BDEG_20232,35,57,TM
BDEG_22860,4,14,SP
BDEG_24422,8,23,SP
BDEG_22773,2,10,SP
BDEG_26814,14,42,TM
BDEG_23083,6,29,TM
BDEG_28302,3,15,SP
BDEG_24446,42,59,TM
BDEG_23384,10,20,SP
BDEG_21869,22,44,TM
BDEG_21934,5,12,SP
BDEG_20036,3,13,SP
BDEG_20140,6,24,TM
BDEG_25793,6,17,SP
BDEG_21386,6,30,TM
BDEG_21648,3,15,SP
BDEG_26843,6,28,TM
BDEG_23936,3,14,SP
BDEG_27898,39,58,TM
BDEG_23000,12,31,TM
BDEG_28729,4,16,SP
BDEG_21894,19,36,TM
BDEG_26936,28,49,TM
BDEG_28544,6,14,SP
BDEG_28358,30,57,TM
BDEG_26706,12,35,TM
BDEG_20005,3,13,SP
BDEG_20373,3,14,SP
BDEG_27176,3,13,SP
BDEG_20581,20,40,TM
BDEG_22285,10,21,SP
BDEG_24347,20,42,TM
BDEG_27121,6,16,SP
BDEG_27891,27,46,TM
BDEG_27107,27,44,TM
BDEG_21993,6,16,SP
BDEG_28217,31,54,TM
BDEG_28393,3,15,SP
BDEG_25540,14,25,SP
BDEG_27868,3,15,SP
BDEG_23953,10,21,SP
BDEG_23279,12,35,TM
BDEG_25557,3,15,SP
