seqid,phobius_start,phobius_end,phobius_type
SPBC1718.04,6,22,TM
SPBC947.10,12,22,SP
SPBPJ4664.05,12,30,TM
SPCC24B10.10c,12,30,TM
SPAC13G6.10c,3,13,SP
SPAC17H9.12c,12,28,TM
SPBC56F2.12,22,30,SP
SPAC25B8.01,6,22,TM
SPCC31H12.06,12,19,SP
SPAC22A12.10,40,59,TM
SPBC15D4.04,8,18,SP
SPAP4C9.02,11,22,SP
SPCC569.06,3,13,SP
SPAC105.01c,20,39,TM
SPCC1322.16,21,41,TM
SPCC126.08c,8,18,SP
SPAC1527.01,5,16,SP
SPAC328.09,6,29,TM
SPBC1773.11c,40,58,TM
SPAC27E2.07,16,37,TM
SPCC550.15c,3,14,SP
SPBPB10D8.04c,12,33,TM
SPAC10F6.12c,7,32,TM
SPAC5D6.10c,20,39,TM
SPCC191.04c,28,50,TM
SPBC1685.13,12,33,TM
SPAC17A5.08,4,15,SP
SPAC750.04c,38,59,TM
SPBC354.15,5,15,SP
SPAC1A6.06c,16,40,TM
SPAC12B10.11,33,58,TM
SPAC22E12.05c,35,53,TM
SPAC6C3.04,22,32,SP
SPCC1322.03,8,20,SP
SPBC21B10.15,6,27,TM
SPAPB18E9.05c,12,38,TM
SPAC212.12,4,15,SP
SPCC1223.03c,10,17,SP
SPBC21C3.16c,11,19,SP
SPAC27D7.09c,8,18,SP
SPAC688.16,16,36,TM
SPAPB8E5.08,13,33,TM
SPBC27.06c,12,36,TM
SPAC25A8.03c,20,38,TM
SPBC2G2.17c,6,14,SP
SPAC56F8.11,13,34,TM
SPMIT.04,24,43,TM
SPAC5H10.13c,12,34,TM
SPCC16A11.06c,3,12,SP
SPAC17G8.08c,7,14,SP
SPBC16E9.09c,3,14,SP
SPBC19C7.05,36,56,TM
SPBC1685.03,9,20,SP
SPBC18A7.02c,3,13,SP
SPBC30D10.17c,12,22,SP
SPAC343.12,4,15,SP
SPAC7D4.15c,6,27,TM
SPBC83.06c,8,18,SP
SPAPB17E12.08,24,45,TM
SPBC3B9.04,7,27,TM
SPBC947.03c,6,27,TM
SPAC227.19c,12,31,TM
SPAC869.07c,9,19,SP
SPAC1952.01,9,19,SP
SPBC405.03c,12,33,TM
SPBC19G7.07c,5,13,SP
SPBC3D6.05,20,40,TM
SPAC9.08c,6,26,TM
SPAC19A8.04,26,45,TM
SPAC13G6.03,6,24,TM
SPAC186.03,4,11,SP
SPACUNK4.16c,4,11,SP
SPAC11H11.02c,12,33,TM
SPBC337.10c,2,9,SP
SPAC24C9.08,38,54,TM
SPAC25H1.07,5,15,SP
SPAC227.13c,8,19,SP
SPAC1F5.02,6,17,SP
SPAC31G5.02,3,16,SP
SPMIT.05,28,55,TM
SPCC16A11.01,20,44,TM
SPCC11E10.08,2,13,SP
SPAC1250.02,12,30,TM
SPBC725.10,15,33,TM
SPAC29E6.07,28,49,TM
SPAC8F11.08c,6,25,TM
SPBP23A10.17,8,19,SP
SPCC63.04,7,18,SP
SPBC21B10.04c,33,53,TM
SPCC576.07,3,14,SP
SPCC1840.07c,10,21,SP
SPBC530.10c,2,10,SP
SPCC790.03,22,50,TM
SPAC19B12.06c,20,45,TM
SPAC869.01,3,14,SP
SPCC663.14c,3,13,SP
SPAPB24D3.10c,9,19,SP
SPBP19A11.02c,3,13,SP
SPAPB24D3.03,6,16,SP
SPBPB7E8.01,3,14,SP
SPAC29E6.05c,3,14,SP
SPAC1565.01,20,38,TM
SPBC19G7.19,27,44,TM
SPBPB2B2.17c,38,59,TM
SPBC19C2.04c,16,34,TM
SPAC12B10.02c,41,59,TM
SPCC126.09,6,26,TM
SPBC19G7.18c,34,50,TM
SPCC1223.08c,7,14,SP
SPAC1B3.10c,20,31,SP
SPBC14C8.15,17,37,TM
SPBC1E8.05,3,11,SP
SPBC32F12.12c,29,58,TM
SPBC215.13,5,15,SP
SPAC23C11.06c,42,59,TM
SPBC428.14,12,35,TM
SPAC1F5.03c,6,24,TM
SPAC20G4.07c,12,34,TM
SPCC330.19c,21,54,TM
SPAC23H4.07c,6,28,TM
SPAC1006.05c,6,23,TM
SPCC1322.07c,30,49,TM
SPBC337.09,12,33,TM
SPBC16A3.13,8,19,SP
SPAC1002.13c,6,13,SP
SPCC1235.15,28,55,TM
SPAC4G8.12c,8,19,SP
SPBC947.04,7,18,SP
SPBC16A3.12c,14,37,TM
SPAC630.12,6,23,TM
SPAC14C4.09,3,15,SP
SPAC3G9.01,5,16,SP
SPBC8D2.17,14,25,SP
SPBC1215.02c,10,21,SP
SPAC23A1.04c,7,18,SP
SPAC652.01,6,27,TM
SPAC20G8.07c,6,22,TM
SPAC1F8.01,4,13,SP
SPCC1259.05c,14,34,TM
SPBC365.08c,22,46,TM
SPAC23C4.11,12,32,TM
SPAC3F10.02c,12,39,TM
SPAC2E1P5.01c,9,28,TM
SPBC1215.01,38,58,TM
SPAPB2B4.01c,4,15,SP
SPAC23A1.02c,17,36,TM
SPBC27B12.06,21,39,TM
SPBC16H5.14c,6,26,TM
SPAC4H3.17,12,33,TM
SPAC56F8.06c,6,17,SP
SPBC25H2.18,37,54,TM
SPCC1020.11c,31,58,TM
SPAC1002.03c,5,20,SP
SPBC13E7.07,6,24,TM
SPAC869.03c,12,33,TM
SPAC17C9.07,6,25,TM
SPAC25H1.05,6,16,SP
SPCC737.09c,12,31,TM
SPCC24B10.17,9,16,SP
SPAC32A11.01,4,12,SP
SPAC9E9.17c,3,13,SP
SPBC8D2.09c,20,40,TM
SPBC1E8.03c,38,48,SP
SPBC21D10.06c,4,14,SP
SPAC57A10.07,35,54,TM
SPAC823.07,7,18,SP
SPBP4H10.19c,3,11,SP
SPAC212.08c,4,15,SP
SPAC30D11.01c,8,19,SP
SPBC1348.10c,6,14,SP
SPBC1703.13c,20,41,TM
SPAC17H9.01,6,16,SP
SPBPB8B6.05c,4,15,SP
SPBC2G2.01c,24,42,TM
SPCC188.14,3,13,SP
SPBC1778.05c,20,37,TM
SPBC4F6.08c,9,21,SP
SPBC56F2.10c,6,24,TM
SPBC1709.03,7,18,SP
SPAC25B8.07c,40,59,TM
SPAC1B3.18c,12,33,TM
SPBC23G7.13c,12,33,TM
SPAC25B8.17,37,56,TM
SPCC330.20,41,59,TM
SPCC1235.14,5,13,SP
SPCC11E10.02c,3,14,SP
SPAC1A6.04c,6,17,SP
SPCC553.10,5,16,SP
SPAC1782.12c,37,57,TM
SPAC24B11.08c,20,43,TM
SPAC22A12.07c,31,50,TM
SPBC800.14c,29,49,TM
SPAC23C11.13c,32,51,TM
SPBC1198.06c,6,16,SP
SPBC83.13,9,20,SP
SPAPB1E7.04c,3,11,SP
SPBC21C3.18,2,9,SP
SPAC1687.16c,35,58,TM
SPBC8D2.02c,23,48,TM
SPAC6B12.12,32,51,TM
SPBC1773.04,4,15,SP
SPAC139.04c,4,13,SP
SPAC4G8.08,5,15,SP
SPAC13F5.05,8,19,SP
SPAC13A11.02c,39,57,TM
SPAP27G11.02,33,43,SP
SPAC1F5.07c,3,11,SP
SPAC1071.08,4,12,SP
SPBC1105.08,9,21,SP
SPAP14E8.05c,6,23,TM
SPAC17A2.02c,40,59,TM
SPBC18E5.14c,20,40,TM
SPAC750.07c,4,15,SP
SPAC8F11.10c,10,25,SP
SPBC3B9.15c,36,57,TM
SPAC9E9.12c,27,46,TM
SPBC27B12.01c,12,32,TM
SPBC16G5.18,15,39,TM
SPCC757.12,6,17,SP
SPBPB8B6.06c,7,25,TM
SPBC19C7.02,20,36,TM
SPBC27B12.09c,4,16,SP
SPBC1348.08c,10,18,SP
SPAC25H1.09,6,26,TM
SPAC167.01,14,25,SP
SPCC338.15,4,15,SP
SPAPB15E9.02c,7,29,TM
SPBC1711.03,12,32,TM
SPBC530.09c,3,17,SP
SPBC713.12,6,25,TM
SPAC3A11.10c,23,42,TM
SPBC12D12.09,15,34,TM
SPAC630.11,7,24,TM
SPBC887.02,36,58,TM
SPAC1687.17c,14,34,TM
SPAPB1A11.01,39,59,TM
SPBC2A9.06c,5,21,TM
SPAC1486.08,20,40,TM
SPBC1685.07c,20,40,TM
SPAC977.02,38,59,TM
SPBP4G3.02,6,16,SP
SPAC8C9.19,25,43,TM
SPAC977.05c,6,14,SP
SPBC1348.03,38,59,TM
SPBC2F12.17,31,53,TM
SPCC736.04c,6,26,TM
SPCC584.13,41,59,TM
SPAC6F6.06c,11,22,SP
SPAC1A6.10,31,50,TM
SPAC16E8.02,23,44,TM
SPBC21B10.11,6,26,TM
SPCC417.16,12,32,TM
SPCC16C4.19,7,14,SP
SPAC3F10.10c,6,25,TM
SPBC16H5.04,12,30,TM
SPAC1782.02c,7,25,TM
SPAC2H10.04,28,50,TM
SPAC3A12.08,10,21,SP
SPAC2F3.18c,12,31,TM
SPAC23D3.14c,7,20,SP
SPBP4H10.08,32,50,TM
SPBC1734.04,39,57,TM
SPBC1198.07c,4,14,SP
SPBC12C2.14c,21,38,TM
SPAC1F8.06,5,15,SP
SPBC725.05c,32,52,TM
SPBC3D6.02,7,18,SP
SPBC19C2.15c,12,34,TM
SPBC146.10,4,15,SP
SPAC22A12.15c,6,19,SP
SPBC30D10.16,35,57,TM
SPAC4G9.14,6,22,TM
SPAC1F8.02c,8,15,SP
SPCC188.09c,6,16,SP
SPAC1F5.06,4,14,SP
SPBC530.16,10,21,SP
SPAC12G12.17,6,27,TM
SPAPB17E12.07c,20,40,TM
SPCC330.08,3,14,SP
SPBC1734.12c,7,25,TM
SPAPB8E5.10,21,44,TM
SPAC1687.08,6,27,TM
SPBC1604.25,7,24,TM
SPAC1296.03c,4,15,SP
