seqid,phobius_start,phobius_end,phobius_type
CNAG_03465,7,15,SP
CNAG_04246,3,10,SP
CNAG_03135,32,54,TM
CNAG_07997,12,35,TM
CNAG_04283,5,16,SP
CNAG_06389,25,46,TM
CNAG_04486,8,19,SP
CNAG_06839,43,59,TM
CNAG_05813,4,15,SP
CNAG_01640,6,27,TM
CNAG_05075,10,20,SP
CNAG_02317,5,13,SP
CNAG_00799,7,17,SP
CNAG_07990,41,59,TM
CNAG_03412,21,39,TM
CNAG_05899,6,25,TM
CNAG_01986,7,18,SP
CNAG_03342,8,19,SP
CNAG_01534,39,57,TM
CNAG_02659,42,49,SP
CNAG_03169,17,41,TM
CNAG_00930,12,29,TM
CNAG_05020,5,15,SP
CNAG_06073,2,13,SP
CNAG_05029,12,32,TM
CNAG_00428,32,52,TM
CNAG_02958,3,14,SP
CNAG_02093,40,58,TM
CNAG_00323,4,12,SP
CNAG_07670,31,49,TM
CNAG_01873,16,44,TM
CNAG_07520,6,28,TM
CNAG_06012,12,33,TM
CNAG_09002,29,52,TM
CNAG_07448,12,30,TM
CNAG_03544,31,48,TM
CNAG_06251,4,14,SP
CNAG_03339,38,56,TM
CNAG_03398,6,17,SP
CNAG_05667,30,49,TM
CNAG_00967,36,57,TM
CNAG_02483,10,18,SP
CNAG_01855,12,30,TM
CNAG_02210,6,28,TM
CNAG_06260,3,14,SP
CNAG_01621,12,35,TM
CNAG_09012,38,59,TM
CNAG_00503,3,13,SP
CNAG_03268,12,27,TM
CNAG_02660,5,16,SP
CNAG_06225,10,23,SP
CNAG_02509,31,54,TM
CNAG_05115,7,26,TM
CNAG_02416,38,56,TM
CNAG_00472,15,34,TM
CNAG_02072,24,44,TM
CNAG_03979,4,14,SP
CNAG_07486,20,42,TM
CNAG_02683,5,16,SP
CNAG_06534,12,33,TM
CNAG_05278,3,14,SP
CNAG_06712,32,55,TM
CNAG_02031,41,59,TM
CNAG_09011,6,25,TM
CNAG_00117,41,59,TM
CNAG_04378,31,50,TM
CNAG_05837,6,16,SP
CNAG_05673,35,55,TM
CNAG_00233,5,12,SP
CNAG_02793,9,20,SP
CNAG_04030,7,18,SP
CNAG_01723,11,21,SP
CNAG_04876,4,15,SP
CNAG_00756,39,59,TM
CNAG_03862,28,47,TM
CNAG_04576,20,38,TM
CNAG_02980,30,41,SP
CNAG_06829,12,29,TM
CNAG_06711,40,57,TM
CNAG_02598,4,16,SP
CNAG_05293,6,27,TM
CNAG_02309,6,19,SP
CNAG_02114,12,32,TM
CNAG_06394,19,39,TM
CNAG_07407,3,13,SP
CNAG_05469,5,24,TM
CNAG_07334,36,54,TM
CNAG_01172,2,13,SP
CNAG_07076,2,13,SP
CNAG_04963,3,14,SP
CNAG_06420,14,23,SP
CNAG_05310,10,20,SP
CNAG_01015,42,59,TM
CNAG_02856,34,56,TM
CNAG_00359,4,15,SP
CNAG_00453,15,38,TM
CNAG_06501,4,15,SP
CNAG_06459,3,13,SP
CNAG_01924,12,32,TM
CNAG_07508,12,33,TM
CNAG_00542,12,29,TM
CNAG_01229,36,53,TM
CNAG_04089,4,15,SP
CNAG_03858,6,17,SP
CNAG_06791,28,48,TM
CNAG_05540,20,40,TM
CNAG_02221,6,26,TM
CNAG_06807,14,25,SP
CNAG_03474,35,58,TM
CNAG_00045,7,14,SP
CNAG_01512,2,13,SP
CNAG_04665,13,23,SP
CNAG_04664,15,26,SP
CNAG_06903,3,14,SP
CNAG_04747,17,28,SP
CNAG_02321,20,38,TM
CNAG_07975,40,58,TM
CNAG_05286,12,35,TM
CNAG_06216,6,17,SP
CNAG_05578,41,59,TM
CNAG_03663,42,58,TM
CNAG_03806,24,50,TM
CNAG_04564,6,19,SP
CNAG_06844,10,21,SP
CNAG_07544,22,29,SP
CNAG_07917,41,59,TM
CNAG_02351,3,11,SP
CNAG_00476,13,24,SP
CNAG_04129,43,59,TM
CNAG_04111,7,18,SP
CNAG_01868,2,13,SP
CNAG_07359,8,15,SP
CNAG_01706,35,57,TM
CNAG_03997,10,17,SP
CNAG_02050,15,36,TM
CNAG_05611,28,49,TM
CNAG_08007,39,59,TM
CNAG_03933,10,21,SP
CNAG_01471,7,18,SP
CNAG_07570,3,13,SP
CNAG_06923,33,50,TM
CNAG_02590,8,16,SP
CNAG_04987,6,13,SP
CNAG_00876,31,51,TM
CNAG_07314,3,15,SP
CNAG_02420,6,13,SP
CNAG_01879,7,14,SP
CNAG_00158,15,26,SP
CNAG_06732,4,15,SP
CNAG_05726,18,37,TM
CNAG_05770,2,9,SP
CNAG_04909,15,37,TM
CNAG_04947,6,25,TM
CNAG_07340,6,24,TM
CNAG_06267,4,15,SP
CNAG_02532,6,14,SP
CNAG_05024,26,56,TM
CNAG_00701,11,29,SP
CNAG_03114,7,27,TM
CNAG_05356,3,14,SP
CNAG_05911,6,13,SP
CNAG_03450,40,57,TM
CNAG_03486,16,31,SP
CNAG_05633,20,42,TM
CNAG_01255,3,13,SP
CNAG_03397,7,15,SP
CNAG_05234,43,59,TM
CNAG_01121,6,17,SP
CNAG_00088,10,18,SP
CNAG_06750,43,59,TM
CNAG_06060,30,51,TM
CNAG_02282,8,19,SP
CNAG_06422,6,17,SP
CNAG_03439,12,30,TM
CNAG_05446,3,16,SP
CNAG_02207,13,24,SP
CNAG_00468,9,20,SP
CNAG_05159,6,21,SP
CNAG_04142,6,13,SP
CNAG_00302,12,32,TM
CNAG_06213,4,15,SP
CNAG_04732,39,56,TM
CNAG_02526,5,15,SP
CNAG_05769,3,11,SP
CNAG_05259,15,37,TM
CNAG_07352,13,24,SP
CNAG_02865,2,12,SP
CNAG_07969,23,44,TM
CNAG_05903,20,36,TM
CNAG_05394,41,59,TM
CNAG_03163,13,31,TM
CNAG_02582,6,25,TM
CNAG_01461,25,53,TM
CNAG_04783,11,26,SP
CNAG_06242,6,32,TM
CNAG_06104,11,22,SP
CNAG_01466,18,37,TM
CNAG_05536,8,19,SP
CNAG_04149,10,17,SP
CNAG_07954,39,57,TM
CNAG_00843,6,25,TM
CNAG_05587,4,12,SP
CNAG_02806,12,36,TM
CNAG_00634,2,12,SP
CNAG_04015,12,30,TM
CNAG_07562,2,13,SP
CNAG_02493,20,39,TM
CNAG_01368,4,12,SP
CNAG_01040,5,16,SP
CNAG_00582,33,53,TM
CNAG_01513,3,14,SP
CNAG_00697,7,26,TM
CNAG_06207,17,28,SP
CNAG_04638,9,17,SP
CNAG_06135,27,49,TM
CNAG_05698,12,30,TM
CNAG_07327,38,55,TM
CNAG_00331,14,32,TM
CNAG_05617,31,52,TM
CNAG_01758,3,11,SP
CNAG_00137,6,21,SP
CNAG_00064,6,17,SP
CNAG_00149,12,35,TM
CNAG_03394,31,52,TM
CNAG_07813,4,14,SP
CNAG_03454,6,17,SP
CNAG_03328,3,12,SP
CNAG_06731,14,31,TM
CNAG_04366,12,35,TM
CNAG_06346,5,16,SP
CNAG_06438,37,58,TM
CNAG_07937,20,42,TM
CNAG_01771,9,17,SP
CNAG_05460,6,14,SP
CNAG_03847,20,37,TM
CNAG_01403,3,13,SP
CNAG_07685,12,32,TM
CNAG_04416,7,29,TM
CNAG_07804,20,40,TM
CNAG_02901,2,7,SP
CNAG_04269,2,12,SP
CNAG_06452,22,44,TM
CNAG_02848,20,41,TM
CNAG_06323,16,36,TM
CNAG_01683,25,43,TM
CNAG_01096,20,45,TM
CNAG_01778,4,15,SP
CNAG_04183,7,17,SP
CNAG_04861,8,19,SP
CNAG_01050,35,54,TM
CNAG_01012,20,40,TM
CNAG_04999,6,17,SP
CNAG_06298,24,32,SP
CNAG_02715,37,56,TM
CNAG_08012,12,33,TM
CNAG_05037,5,16,SP
CNAG_00855,39,56,TM
CNAG_01575,39,59,TM
CNAG_05651,8,19,SP
CNAG_03524,2,12,SP
CNAG_01929,3,14,SP
CNAG_07509,3,10,SP
CNAG_02460,32,50,TM
CNAG_07422,6,17,SP
CNAG_03635,12,37,TM
CNAG_06825,19,34,SP
CNAG_03525,4,13,SP
CNAG_04657,7,25,SP
CNAG_03732,6,27,TM
CNAG_04141,25,45,TM
CNAG_03286,8,19,SP
CNAG_03693,4,14,SP
CNAG_00999,6,23,TM
CNAG_02361,28,45,TM
CNAG_01668,34,56,TM
CNAG_02220,31,50,TM
CNAG_03686,6,27,TM
CNAG_04400,8,19,SP
CNAG_00586,6,17,SP
CNAG_04342,12,25,SP
CNAG_07365,8,16,SP
CNAG_01987,6,26,TM
CNAG_04846,12,30,TM
CNAG_04377,10,18,SP
CNAG_01422,15,37,TM
CNAG_01045,41,59,TM
CNAG_09007,30,59,TM
CNAG_01275,4,15,SP
CNAG_03187,8,16,SP
CNAG_02904,9,20,SP
CNAG_03644,12,29,TM
CNAG_02815,13,24,SP
CNAG_01314,5,12,SP
CNAG_00290,4,14,SP
CNAG_07796,12,32,TM
CNAG_05812,40,57,TM
CNAG_07966,27,45,TM
CNAG_03915,20,44,TM
CNAG_03885,12,33,TM
CNAG_08029,7,20,SP
CNAG_05012,12,29,TM
CNAG_03664,21,43,TM
CNAG_05499,17,39,TM
CNAG_04373,4,15,SP
CNAG_01940,5,16,SP
CNAG_03047,28,48,TM
CNAG_01851,17,37,TM
CNAG_01761,29,50,TM
CNAG_02993,6,16,SP
CNAG_05412,2,9,SP
CNAG_00307,12,35,TM
CNAG_05357,34,56,TM
CNAG_03294,32,50,TM
CNAG_05583,6,30,TM
CNAG_06395,3,15,SP
CNAG_06752,19,37,TM
CNAG_04712,10,21,SP
CNAG_04694,4,12,SP
CNAG_06816,3,10,SP
CNAG_01109,3,12,SP
CNAG_00895,20,44,TM
CNAG_04993,7,18,SP
CNAG_04681,8,19,SP
CNAG_03012,3,14,SP
CNAG_06347,5,13,SP
CNAG_00815,39,59,TM
CNAG_06593,4,14,SP
CNAG_06654,12,33,TM
CNAG_02860,6,17,SP
CNAG_00101,41,59,TM
CNAG_03071,12,30,TM
CNAG_06186,21,41,TM
CNAG_00020,4,14,SP
CNAG_00150,7,18,SP
CNAG_01874,6,26,TM
CNAG_03576,12,31,TM
CNAG_04045,16,23,SP
CNAG_00698,5,20,SP
CNAG_00626,40,59,TM
CNAG_04384,12,30,TM
CNAG_01349,13,21,SP
CNAG_07406,21,42,TM
CNAG_05775,32,51,TM
CNAG_05546,3,13,SP
CNAG_02855,10,19,SP
CNAG_04625,3,13,SP
CNAG_00554,12,28,TM
CNAG_04671,38,59,TM
CNAG_00555,33,51,TM
CNAG_03857,3,14,SP
CNAG_03670,4,11,SP
CNAG_00651,24,34,SP
CNAG_01654,15,33,TM
CNAG_04867,37,58,TM
CNAG_01127,10,20,SP
CNAG_04524,15,27,SP
CNAG_07976,4,15,SP
CNAG_07203,6,29,TM
CNAG_05742,12,33,TM
CNAG_00526,5,15,SP
CNAG_01284,9,27,TM
CNAG_06808,6,25,TM
CNAG_06640,3,10,SP
CNAG_05964,2,12,SP
CNAG_06963,26,42,TM
CNAG_00250,2,13,SP
CNAG_06217,27,54,TM
CNAG_03400,4,15,SP
CNAG_03772,25,50,TM
CNAG_01992,2,9,SP
CNAG_00715,27,46,TM
CNAG_01707,28,54,TM
CNAG_06548,12,27,SP
CNAG_04124,6,15,SP
CNAG_07803,3,10,SP
CNAG_04171,4,15,SP
CNAG_01696,9,16,SP
CNAG_06396,3,13,SP
CNAG_01686,7,15,SP
CNAG_01268,30,54,TM
CNAG_06889,12,32,TM
CNAG_04325,7,18,SP
CNAG_06240,7,15,SP
CNAG_05407,32,52,TM
CNAG_03640,16,27,SP
CNAG_07771,5,12,SP
CNAG_00164,4,17,SP
CNAG_06647,27,44,TM
CNAG_00315,16,24,SP
CNAG_01956,12,32,TM
CNAG_07629,5,16,SP
CNAG_02765,12,29,TM
CNAG_07502,5,16,SP
CNAG_01679,6,16,SP
CNAG_00600,17,35,TM
CNAG_00129,35,54,TM
CNAG_04000,2,13,SP
CNAG_02874,6,17,SP
CNAG_02594,42,59,TM
CNAG_04949,37,56,TM
CNAG_04988,25,44,TM
CNAG_04931,6,17,SP
CNAG_02026,35,59,TM
CNAG_02254,20,41,TM
CNAG_02041,28,40,SP
CNAG_01233,9,19,SP
CNAG_00420,7,26,TM
CNAG_03150,20,40,TM
CNAG_07736,5,13,SP
CNAG_03648,4,15,SP
CNAG_01588,7,24,TM
CNAG_03480,20,39,TM
CNAG_05933,4,12,SP
CNAG_02125,6,28,TM
CNAG_03464,7,15,SP
CNAG_07032,5,13,SP
CNAG_07554,12,29,TM
CNAG_04891,2,12,SP
CNAG_03158,34,52,TM
CNAG_02199,21,44,TM
CNAG_08000,12,31,TM
CNAG_04756,4,11,SP
CNAG_05735,26,50,TM
CNAG_00185,5,15,SP
CNAG_07897,21,39,TM
CNAG_06085,3,14,SP
CNAG_01221,12,29,TM
CNAG_07549,4,14,SP
CNAG_07784,3,14,SP
CNAG_06918,21,40,TM
CNAG_01914,6,17,SP
CNAG_03204,2,13,SP
CNAG_04076,13,31,TM
CNAG_01387,12,32,TM
CNAG_06670,12,31,TM
CNAG_03288,3,18,SP
CNAG_00517,42,59,TM
CNAG_02753,7,26,TM
CNAG_00461,6,19,SP
CNAG_05079,6,17,SP
