seqid,phobius_start,phobius_end,phobius_type
NCU11363,16,36,TM
NCU04626,26,48,TM
NCU02019,12,31,TM
NCU08227,12,23,SP
NCU08568,12,22,SP
NCU07339,12,31,TM
NCU09990,12,19,SP
NCU02855,6,16,SP
NCU05113,3,14,SP
NCU09565,39,57,TM
NCU03205,6,27,TM
NCU03549,12,33,TM
NCU00346,39,57,TM
NCU00377,14,35,TM
NCU05315,8,15,SP
NCU07310,22,40,TM
NCU02118,12,31,TM
NCU04262,8,16,SP
NCU01206,6,16,SP
NCU08750,7,18,SP
NCU01289,12,22,SP
NCU00506,20,42,TM
NCU01526,32,39,SP
NCU02334,39,58,TM
NCU07104,6,16,SP
NCU08243,20,39,TM
NCU01800,16,26,SP
NCU09175,6,15,SP
NCU08680,4,15,SP
NCU08180,12,33,TM
NCU00950,20,37,TM
NCU07670,4,12,SP
NCU11038,6,16,SP
NCU02969,32,53,TM
NCU06299,23,47,TM
NCU04558,14,25,SP
NCU08168,5,13,SP
NCU01517,36,57,TM
NCU04481,3,10,SP
NCU07695,6,25,TM
NCU09193,5,15,SP
NCU04903,20,31,SP
NCU01403,3,14,SP
NCU07050,7,18,SP
NCU16682,6,17,SP
NCU09448,3,14,SP
NCU07224,7,18,SP
NCU08100,8,19,SP
NCU02162,2,12,SP
NCU05805,17,28,SP
NCU08573,20,43,TM
NCU00259,26,48,TM
NCU02187,6,14,SP
NCU02369,3,12,SP
NCU04493,5,12,SP
NCU04080,6,24,TM
NCU07351,3,10,SP
NCU08432,3,14,SP
NCU01076,4,16,SP
NCU03219,3,13,SP
NCU02213,12,31,TM
NCU05757,2,10,SP
NCU12051,14,29,SP
NCU05063,4,15,SP
NCU06702,37,56,TM
NCU08473,3,13,SP
NCU01848,4,12,SP
NCU04526,8,15,SP
NCU04286,6,27,TM
NCU08398,4,11,SP
NCU03136,6,24,TM
NCU06170,4,15,SP
NCU02042,6,25,TM
NCU08279,12,31,TM
NCU05191,8,19,SP
NCU10264,10,18,SP
NCU02296,2,7,SP
NCU04605,6,23,TM
NCU02749,8,15,SP
NCU05844,6,27,TM
NCU07083,8,15,SP
NCU05828,31,48,TM
NCU09485,12,20,SP
NCU05057,5,13,SP
NCU10003,6,16,SP
NCU01065,36,57,TM
NCU09631,6,16,SP
NCU10014,4,15,SP
NCU16018,6,29,TM
NCU04205,4,14,SP
NCU04952,5,12,SP
NCU05001,12,30,TM
NCU05494,8,23,SP
NCU02681,12,30,TM
NCU07787,6,13,SP
NCU02564,12,33,TM
NCU02584,9,17,SP
NCU10031,3,10,SP
NCU05143,6,16,SP
NCU02531,32,51,TM
NCU06082,2,12,SP
NCU11223,20,37,TM
NCU01250,6,27,TM
NCU02996,32,40,SP
NCU08067,36,58,TM
NCU03141,3,14,SP
NCU09719,25,36,SP
NCU04948,13,24,SP
NCU05885,7,26,TM
NCU09691,5,12,SP
NCU08230,9,29,TM
NCU08893,7,17,SP
NCU16860,8,18,SP
NCU08635,4,11,SP
NCU05910,3,10,SP
NCU03648,5,18,SP
NCU05812,6,28,TM
NCU01058,11,17,SP
NCU09055,3,11,SP
NCU09326,3,14,SP
NCU02767,12,31,TM
NCU08033,4,14,SP
NCU02624,20,41,TM
NCU09852,20,39,TM
NCU00247,39,59,TM
NCU17157,2,12,SP
NCU06143,8,18,SP
NCU09066,12,23,SP
NCU09133,3,12,SP
NCU05576,20,37,TM
NCU17048,37,58,TM
NCU07841,35,55,TM
NCU06866,28,39,SP
NCU16399,6,22,TM
NCU09859,6,13,SP
NCU08219,26,37,SP
NCU01977,12,31,TM
NCU08705,6,27,TM
NCU00943,6,17,SP
NCU01457,41,59,TM
NCU07088,3,14,SP
NCU00339,21,42,TM
NCU09619,6,18,SP
NCU08171,3,14,SP
NCU09291,7,25,TM
NCU07500,6,16,SP
NCU08124,32,58,TM
NCU06421,3,13,SP
NCU00216,12,29,TM
NCU09046,7,17,SP
NCU07592,3,13,SP
NCU06344,3,11,SP
NCU08336,9,16,SP
NCU09710,7,18,SP
NCU08346,15,25,SP
NCU08079,5,15,SP
NCU01657,12,20,SP
NCU07269,3,14,SP
NCU00993,17,28,SP
NCU01697,20,40,TM
NCU08657,2,12,SP
NCU00700,20,41,TM
NCU06524,5,15,SP
NCU07761,12,38,TM
NCU07940,30,48,TM
NCU01351,3,14,SP
NCU04089,6,27,TM
NCU02095,16,24,SP
NCU07394,12,34,TM
NCU02189,6,17,SP
NCU09913,4,14,SP
NCU04543,5,16,SP
NCU02197,7,18,SP
NCU05584,3,14,SP
NCU00425,41,58,TM
NCU04146,9,16,SP
NCU10861,4,18,SP
NCU09209,3,14,SP
NCU02869,20,39,TM
NCU07103,7,18,SP
NCU17271,7,18,SP
NCU09848,6,13,SP
NCU09117,8,18,SP
NCU09251,6,23,TM
NCU10595,31,50,TM
NCU06447,38,56,TM
NCU05043,6,17,SP
NCU04234,3,13,SP
NCU03736,6,16,SP
NCU05284,15,25,SP
NCU09160,20,43,TM
NCU07701,12,33,TM
NCU00607,3,11,SP
NCU07277,3,13,SP
NCU05096,3,13,SP
NCU10907,7,14,SP
NCU04003,4,11,SP
NCU00292,10,21,SP
NCU06381,4,14,SP
NCU08274,3,11,SP
NCU02613,11,21,SP
NCU08629,4,14,SP
NCU07353,3,11,SP
NCU08131,4,14,SP
NCU03134,13,24,SP
NCU08380,14,25,SP
NCU03294,5,12,SP
NCU07091,6,25,TM
NCU01873,5,14,SP
NCU01112,3,14,SP
NCU04938,6,14,SP
NCU07533,7,17,SP
NCU16442,9,19,SP
NCU06761,29,50,TM
NCU06051,3,15,SP
NCU08523,4,18,SP
NCU02904,4,14,SP
NCU05248,5,15,SP
NCU08454,10,24,SP
NCU08445,6,14,SP
NCU00965,41,59,TM
NCU00795,39,58,TM
NCU09185,20,37,TM
NCU09543,40,59,TM
NCU02235,12,23,SP
NCU00399,3,14,SP
NCU00584,15,21,SP
NCU17050,27,50,TM
NCU06840,24,36,SP
NCU16664,19,30,SP
NCU00570,3,14,SP
NCU06949,7,18,SP
NCU03591,24,43,TM
NCU04092,38,56,TM
NCU03423,4,14,SP
NCU06772,6,24,TM
NCU03978,6,17,SP
NCU04853,7,16,SP
NCU09518,3,13,SP
NCU08300,31,48,TM
NCU06669,15,26,SP
NCU03828,12,20,SP
NCU10651,3,12,SP
NCU00459,6,27,TM
NCU02074,7,17,SP
NCU03823,6,14,SP
NCU00051,8,16,SP
NCU04674,7,14,SP
NCU04265,10,21,SP
NCU08992,6,25,TM
NCU06968,24,42,TM
NCU10865,3,14,SP
NCU00527,23,43,TM
NCU05417,7,18,SP
NCU02371,29,48,TM
NCU00477,3,13,SP
NCU00694,20,46,TM
NCU05268,16,45,TM
NCU02110,16,35,TM
NCU02148,20,46,TM
NCU02352,6,25,TM
NCU04699,20,39,TM
NCU07739,30,51,TM
NCU08169,12,29,TM
NCU04175,34,55,TM
NCU05595,6,14,SP
NCU02205,29,47,TM
NCU09970,27,49,TM
NCU16856,4,15,SP
NCU02046,6,17,SP
NCU09702,8,19,SP
NCU01720,5,15,SP
NCU09854,7,15,SP
NCU17225,17,39,TM
NCU10019,12,34,TM
NCU03718,24,47,TM
NCU08189,5,15,SP
NCU00061,15,26,SP
NCU06242,3,14,SP
NCU11320,4,15,SP
NCU07449,4,15,SP
NCU12086,16,27,SP
NCU00182,4,15,SP
NCU04771,30,48,TM
NCU00119,6,14,SP
NCU03873,4,15,SP
NCU02815,6,14,SP
NCU07063,6,17,SP
NCU05012,32,50,TM
NCU07254,12,34,TM
NCU01891,12,36,TM
NCU02336,7,25,TM
NCU09841,5,16,SP
NCU08112,20,42,TM
NCU09281,8,15,SP
NCU05783,33,56,TM
NCU05935,8,20,SP
NCU02202,15,26,SP
NCU08907,20,38,TM
NCU04310,20,41,TM
NCU00360,8,19,SP
NCU07545,12,25,SP
NCU05552,10,21,SP
NCU16306,11,21,SP
NCU00373,3,14,SP
NCU02278,25,46,TM
NCU05882,3,11,SP
NCU05967,14,37,TM
NCU00263,4,14,SP
NCU09806,3,14,SP
NCU05237,12,34,TM
NCU00811,3,13,SP
NCU09059,8,18,SP
NCU07143,4,15,SP
NCU06555,3,11,SP
NCU00960,6,17,SP
NCU04494,4,14,SP
NCU09386,7,17,SP
NCU10035,10,20,SP
NCU16634,20,37,TM
NCU00005,20,42,TM
NCU07468,6,24,TM
NCU06150,6,13,SP
NCU16022,37,59,TM
NCU16718,8,17,SP
NCU09791,6,17,SP
NCU05974,5,12,SP
NCU09635,4,15,SP
NCU16014,28,54,TM
NCU00673,4,15,SP
NCU06138,36,54,TM
NCU09172,27,48,TM
NCU09522,27,45,TM
NCU03465,6,24,TM
NCU11128,3,14,SP
NCU01123,10,22,SP
NCU00865,32,42,SP
NCU07902,15,37,TM
NCU00979,4,12,SP
NCU01297,20,45,TM
NCU01330,8,19,SP
NCU05101,17,38,TM
NCU07537,10,21,SP
NCU01653,7,28,TM
NCU07766,4,11,SP
NCU09746,6,17,SP
NCU05853,34,52,TM
NCU08318,3,13,SP
NCU04180,12,30,TM
NCU08860,4,15,SP
NCU05916,5,16,SP
NCU06326,3,11,SP
NCU05627,12,35,TM
NCU07776,4,12,SP
NCU02865,3,11,SP
NCU03032,40,58,TM
NCU07948,3,14,SP
NCU05384,27,48,TM
NCU04316,20,31,SP
NCU16587,10,20,SP
NCU06430,6,18,SP
NCU05168,29,46,TM
NCU09339,4,15,SP
NCU08316,7,18,SP
NCU04114,37,57,TM
NCU06720,3,13,SP
NCU01080,20,37,TM
NCU01388,9,22,SP
NCU01988,6,17,SP
NCU17216,31,48,TM
NCU16387,29,47,TM
NCU04872,3,14,SP
NCU01089,26,43,TM
NCU01376,6,17,SP
NCU07484,3,14,SP
NCU03554,20,39,TM
NCU09182,7,25,TM
NCU04424,6,14,SP
NCU01045,4,15,SP
NCU07159,3,10,SP
NCU03316,5,15,SP
NCU05705,2,13,SP
NCU07350,21,31,SP
NCU00449,4,14,SP
NCU00387,31,48,TM
NCU02099,5,14,SP
NCU06768,5,16,SP
NCU02500,3,14,SP
NCU09267,4,15,SP
NCU08083,11,21,SP
NCU02722,12,34,TM
NCU05534,5,16,SP
NCU04106,15,36,TM
NCU05960,21,43,TM
NCU02940,18,36,TM
NCU00206,7,18,SP
NCU02150,15,34,TM
NCU09484,3,14,SP
NCU01348,5,15,SP
NCU05019,3,10,SP
NCU08821,5,16,SP
NCU04623,11,19,SP
NCU04053,7,18,SP
NCU08371,15,28,SP
NCU02061,33,54,TM
NCU01794,7,28,TM
NCU01860,29,50,TM
NCU11402,34,56,TM
NCU07999,7,30,TM
NCU04194,4,12,SP
NCU02343,10,20,SP
NCU07341,15,26,SP
NCU03293,7,18,SP
NCU09421,8,17,SP
NCU08720,7,14,SP
NCU07927,6,27,TM
NCU04633,38,58,TM
NCU05404,5,16,SP
NCU00916,20,45,TM
NCU09671,12,30,TM
NCU02903,42,59,TM
NCU05941,35,52,TM
NCU00665,5,14,SP
NCU05123,12,30,TM
NCU16023,6,17,SP
NCU01894,8,19,SP
NCU05852,7,15,SP
NCU03074,37,59,TM
NCU09321,20,29,SP
NCU05376,31,47,TM
NCU09728,6,18,SP
NCU00261,10,21,SP
NCU02627,41,58,TM
NCU05954,2,9,SP
NCU03739,2,13,SP
NCU02246,4,15,SP
NCU03276,31,51,TM
NCU10021,33,51,TM
NCU05437,42,59,TM
NCU08416,5,15,SP
NCU02280,15,34,TM
NCU08743,36,53,TM
NCU08431,6,22,TM
NCU04070,11,22,SP
NCU08785,8,19,SP
NCU06850,3,12,SP
NCU01739,3,14,SP
NCU10039,17,28,SP
NCU06055,4,15,SP
NCU07286,22,42,TM
NCU00987,6,25,TM
NCU02194,4,16,SP
NCU04532,41,59,TM
NCU02464,17,25,SP
NCU04959,4,15,SP
NCU04134,9,20,SP
NCU05814,7,18,SP
NCU03895,7,20,SP
NCU04216,2,9,SP
NCU01990,6,13,SP
NCU06915,6,22,TM
NCU02390,6,28,TM
NCU03369,6,27,TM
NCU03019,5,16,SP
NCU00708,5,16,SP
NCU16024,6,27,TM
NCU03233,12,30,TM
NCU09680,6,13,SP
NCU07055,12,30,TM
NCU11399,7,18,SP
NCU03893,14,25,SP
NCU09759,3,10,SP
NCU01050,3,10,SP
NCU06032,6,17,SP
NCU06130,20,46,TM
NCU06558,12,36,TM
NCU09358,12,33,TM
NCU02237,10,15,SP
NCU05829,20,39,TM
NCU05229,8,19,SP
NCU01219,4,11,SP
NCU08621,37,58,TM
NCU08953,6,17,SP
NCU05626,12,23,SP
NCU00168,6,27,TM
NCU05515,5,17,SP
NCU03937,12,30,TM
NCU09406,11,19,SP
NCU03982,9,24,SP
NCU04479,6,13,SP
NCU09788,4,12,SP
NCU07332,12,30,TM
NCU05189,23,40,TM
NCU03108,32,55,TM
NCU08718,37,57,TM
NCU05212,6,17,SP
NCU09627,12,32,TM
NCU06296,6,14,SP
NCU08516,29,52,TM
NCU02117,14,25,SP
NCU04501,4,15,SP
NCU06688,13,24,SP
NCU04690,6,19,SP
NCU06610,16,36,TM
NCU01467,33,50,TM
NCU17187,27,50,TM
NCU10502,3,10,SP
NCU00473,4,15,SP
NCU09134,5,16,SP
NCU09747,5,22,TM
NCU03556,14,37,TM
NCU04760,12,35,TM
NCU16803,18,29,SP
NCU16704,2,10,SP
NCU16422,27,46,TM
NCU02582,20,40,TM
NCU00075,4,15,SP
NCU03213,2,13,SP
NCU08661,13,22,SP
NCU09416,2,12,SP
NCU08646,6,14,SP
NCU00813,6,17,SP
NCU05134,3,14,SP
NCU02997,30,50,TM
NCU08298,4,12,SP
NCU00065,6,17,SP
NCU03840,28,46,TM
NCU09413,12,30,TM
NCU10539,21,41,TM
NCU07311,20,41,TM
NCU05932,22,33,SP
NCU03456,6,21,SP
NCU02705,12,20,SP
NCU07164,5,13,SP
NCU04781,7,28,TM
NCU09428,4,14,SP
NCU01200,7,22,SP
NCU03901,7,15,SP
NCU10010,20,42,TM
NCU02310,4,15,SP
NCU02530,5,15,SP
NCU05030,3,14,SP
NCU04616,4,15,SP
NCU09026,8,20,SP
NCU09192,20,42,TM
NCU08909,6,15,SP
NCU11030,3,14,SP
NCU07034,4,15,SP
NCU01143,8,15,SP
NCU05864,6,16,SP
NCU04461,16,35,TM
NCU09492,9,18,SP
NCU06602,14,22,SP
NCU02297,2,21,SP
NCU02944,6,18,SP
NCU06880,5,16,SP
NCU01828,6,27,TM
NCU02973,12,30,TM
NCU02733,33,58,TM
NCU09524,3,11,SP
NCU06834,7,18,SP
NCU01066,3,14,SP
NCU01024,4,15,SP
NCU01849,3,13,SP
NCU00029,12,36,TM
NCU16010,26,48,TM
NCU10034,30,47,TM
NCU10008,16,27,SP
NCU00938,20,39,TM
NCU08615,10,20,SP
NCU01608,3,14,SP
NCU03735,15,36,TM
NCU04930,8,19,SP
NCU00234,35,57,TM
NCU06166,43,59,TM
NCU04354,8,18,SP
NCU07727,7,27,TM
NCU06762,31,48,TM
NCU09165,4,15,SP
NCU08080,5,15,SP
NCU04430,4,15,SP
NCU01382,29,48,TM
NCU07061,6,14,SP
NCU00732,16,40,TM
NCU08132,4,19,SP
NCU16430,24,43,TM
NCU05302,11,21,SP
NCU09818,16,36,TM
NCU01059,10,22,SP
NCU17057,3,11,SP
NCU02456,20,38,TM
NCU09775,9,19,SP
NCU16939,2,12,SP
NCU03996,6,13,SP
NCU06531,10,21,SP
NCU02868,22,40,TM
NCU08773,3,12,SP
NCU06270,10,20,SP
NCU07169,12,31,TM
NCU00844,4,15,SP
NCU01454,4,12,SP
NCU05483,7,17,SP
NCU04475,8,18,SP
NCU05395,5,12,SP
NCU01456,22,43,TM
NCU06801,6,17,SP
NCU11102,7,15,SP
NCU09937,10,17,SP
NCU16027,12,35,TM
NCU00695,4,11,SP
NCU07029,5,15,SP
NCU02623,20,39,TM
NCU00178,3,13,SP
NCU09755,6,24,TM
NCU11337,28,50,TM
NCU05980,20,30,SP
NCU03000,5,15,SP
NCU06042,8,15,SP
NCU07827,2,12,SP
NCU08153,4,14,SP
NCU02192,6,14,SP
NCU12085,35,59,TM
NCU01279,33,52,TM
NCU07817,21,31,SP
NCU00265,3,13,SP
NCU16020,6,24,TM
NCU04994,19,31,SP
NCU10344,24,45,TM
NCU08746,3,14,SP
NCU07920,3,14,SP
NCU06983,4,15,SP
NCU08280,21,41,TM
NCU00606,8,18,SP
NCU02212,4,15,SP
NCU04806,5,15,SP
NCU11411,6,25,TM
NCU00516,20,30,SP
NCU16009,24,42,TM
NCU01036,9,19,SP
NCU07769,32,54,TM
NCU03948,18,29,SP
NCU08093,12,34,TM
NCU03158,12,35,TM
NCU00701,3,13,SP
NCU16848,4,15,SP
NCU02084,14,25,SP
NCU04261,7,18,SP
NCU02635,12,33,TM
NCU08179,7,18,SP
NCU07225,4,15,SP
NCU02341,2,10,SP
NCU04580,35,58,TM
NCU16002,7,27,TM
NCU06120,10,20,SP
NCU02363,20,40,TM
NCU09224,12,21,SP
NCU00641,30,54,TM
NCU04537,33,51,TM
NCU00362,8,19,SP
NCU04156,40,59,TM
NCU08818,3,12,SP
NCU09115,18,37,TM
NCU07672,6,26,TM
NCU07363,35,58,TM
NCU00823,6,13,SP
NCU10852,9,18,SP
NCU05606,4,14,SP
NCU05849,38,56,TM
NCU06961,3,11,SP
NCU01752,3,14,SP
NCU00704,9,16,SP
NCU01899,2,13,SP
NCU06893,5,13,SP
NCU00789,29,49,TM
NCU11352,35,56,TM
NCU05567,3,13,SP
NCU05236,14,25,SP
NCU07813,12,31,TM
NCU06792,21,32,SP
NCU03125,9,20,SP
NCU07536,4,14,SP
NCU05878,25,36,SP
NCU06349,6,25,TM
NCU04988,2,13,SP
NCU02030,28,48,TM
NCU09124,2,9,SP
NCU07324,4,15,SP
NCU02294,21,47,TM
NCU05940,6,16,SP
NCU09103,20,41,TM
NCU05031,3,14,SP
NCU00469,2,9,SP
NCU16600,6,22,TM
NCU08872,3,14,SP
NCU02277,37,55,TM
NCU16015,28,54,TM
NCU05152,7,18,SP
NCU01673,13,24,SP
NCU03168,4,12,SP
NCU02977,36,59,TM
NCU01940,2,10,SP
NCU03742,4,12,SP
NCU02168,7,28,TM
NCU03365,4,11,SP
NCU00629,20,40,TM
NCU05156,3,13,SP
NCU02198,7,19,SP
NCU07501,9,20,SP
NCU06888,6,17,SP
NCU04854,5,12,SP
NCU07910,20,39,TM
NCU05373,20,48,TM
NCU04798,29,47,TM
NCU02051,20,39,TM
NCU07059,6,26,TM
NCU16472,5,13,SP
NCU17104,2,10,SP
NCU08555,26,50,TM
NCU12151,41,59,TM
NCU00025,6,28,TM
NCU03013,3,14,SP
NCU04169,6,13,SP
NCU00192,9,19,SP
NCU09196,7,18,SP
NCU09464,3,13,SP
NCU03446,20,38,TM
NCU00605,14,24,SP
NCU00396,7,15,SP
NCU04675,3,14,SP
NCU04791,20,42,TM
NCU04732,19,31,SP
NCU09765,4,15,SP
NCU05311,7,26,TM
NCU04497,43,59,TM
NCU00957,3,13,SP
NCU07462,4,15,SP
NCU01094,5,16,SP
NCU02955,3,10,SP
NCU05541,5,13,SP
NCU06573,8,15,SP
NCU05338,34,55,TM
NCU05917,4,14,SP
NCU07102,7,14,SP
NCU06436,24,34,SP
NCU08676,12,36,TM
NCU10027,6,17,SP
NCU07017,6,21,SP
NCU03653,7,15,SP
NCU09926,3,13,SP
NCU10011,12,32,TM
NCU11249,28,39,SP
NCU00494,7,17,SP
NCU08762,21,43,TM
NCU11405,3,14,SP
NCU06380,14,23,SP
NCU08084,3,15,SP
NCU10766,5,15,SP
NCU09729,16,27,SP
NCU03145,12,36,TM
NCU07432,6,29,TM
NCU07201,19,30,SP
NCU07261,6,26,TM
NCU01116,6,26,TM
NCU09651,13,23,SP
NCU09013,14,34,TM
NCU08194,35,55,TM
NCU07158,7,26,TM
NCU16690,36,54,TM
NCU02191,30,41,SP
NCU04601,4,14,SP
NCU02470,3,13,SP
NCU02900,6,16,SP
NCU02170,4,11,SP
NCU16681,15,36,TM
NCU07681,6,25,TM
NCU05122,3,14,SP
NCU07242,7,17,SP
NCU04837,12,31,TM
NCU10038,4,14,SP
NCU06861,7,18,SP
NCU08609,15,30,SP
NCU16512,39,59,TM
NCU11186,3,11,SP
NCU02349,10,21,SP
NCU01699,3,11,SP
NCU07569,4,15,SP
NCU00453,31,54,TM
NCU08565,6,17,SP
NCU07343,12,30,TM
NCU05644,8,19,SP
NCU04953,3,14,SP
NCU05454,10,17,SP
NCU04900,3,11,SP
NCU04447,3,14,SP
NCU08128,20,40,TM
NCU16769,29,46,TM
NCU08790,7,14,SP
NCU05115,15,26,SP
NCU10416,3,14,SP
NCU04519,12,29,TM
NCU02250,6,13,SP
NCU04554,12,32,TM
NCU04814,21,32,SP
NCU01967,25,44,TM
NCU10507,6,17,SP
NCU06003,38,55,TM
NCU04069,21,41,TM
NCU07760,6,16,SP
NCU05207,40,59,TM
NCU00302,20,42,TM
NCU08315,6,26,TM
NCU00994,2,13,SP
NCU09636,15,36,TM
NCU09794,2,9,SP
NCU09107,40,59,TM
NCU01813,16,33,TM
NCU03883,33,54,TM
NCU02909,7,17,SP
NCU09147,20,41,TM
NCU01298,3,15,SP
NCU06538,39,59,TM
NCU01801,25,47,TM
NCU00911,20,38,TM
NCU05908,5,12,SP
NCU06518,20,42,TM
NCU09042,8,20,SP
NCU04188,21,42,TM
NCU08810,5,16,SP
NCU02080,20,31,SP
NCU02793,28,38,SP
NCU04464,15,35,TM
NCU00867,17,30,SP
NCU02273,4,12,SP
NCU01385,3,11,SP
NCU07620,38,56,TM
NCU03373,7,18,SP
NCU08522,3,14,SP
NCU03181,7,15,SP
NCU09424,7,17,SP
NCU16006,24,47,TM
NCU05834,13,24,SP
NCU16330,19,30,SP
NCU06218,39,59,TM
NCU07472,6,25,TM
NCU07342,23,44,TM
NCU07441,29,54,TM
NCU08780,5,16,SP
NCU06650,3,13,SP
NCU09933,31,57,TM
NCU09201,12,36,TM
NCU09855,3,10,SP
NCU08984,4,13,SP
NCU17032,11,21,SP
NCU01038,3,14,SP
NCU06064,2,12,SP
NCU02028,14,25,SP
NCU00039,8,19,SP
NCU03290,13,24,SP
NCU05318,8,19,SP
NCU06924,8,19,SP
NCU08448,6,21,SP
NCU16914,3,14,SP
NCU02016,34,53,TM
NCU09170,12,23,SP
NCU07806,40,59,TM
