seqid,phobius_start,phobius_end,phobius_type
AN6101,21,40,TM
AN8801,6,17,SP
AN3227,12,29,TM
AN7532,6,16,SP
AN6923,3,11,SP
AN7832,5,13,SP
AN8775,4,15,SP
AN7690,15,25,SP
AN1645,6,16,SP
AN8509,15,26,SP
AN8095,27,52,TM
AN5969,40,59,TM
AN3528,29,49,TM
AN4643,17,37,TM
AN2112,4,14,SP
AN2374,20,42,TM
AN3345,42,59,TM
AN2669,36,58,TM
AN1800,6,21,SP
AN6299,20,40,TM
AN1925,3,11,SP
AN8155,5,13,SP
AN2789,6,13,SP
AN2676,4,12,SP
AN7279,8,19,SP
AN8905,20,40,TM
AN9015,9,20,SP
AN7110,20,50,TM
AN8647,32,51,TM
AN4901,3,14,SP
AN6401,5,16,SP
AN0851,26,51,TM
AN7472,4,16,SP
AN11225,12,33,TM
AN12119,4,15,SP
AN2710,3,14,SP
AN4814,9,16,SP
AN6633,12,30,TM
AN8534,37,57,TM
AN4190,3,14,SP
AN9168,12,30,TM
AN7341,38,59,TM
AN10836,4,15,SP
AN3761,3,11,SP
AN11054,12,23,SP
AN8995,42,60,TM
AN1683,7,18,SP
AN7795,20,44,TM
AN7521,15,26,SP
AN0366,36,59,TM
AN6748,7,18,SP
AN6964,20,38,TM
AN5762,4,14,SP
AN11243,7,18,SP
AN6115,43,60,TM
AN3276,4,15,SP
AN4245,7,30,TM
AN3256,29,48,TM
AN6913,35,53,TM
AN10496,8,15,SP
AN12016,3,10,SP
AN5742,32,52,TM
AN10773,28,52,TM
AN6049,18,33,SP
AN4683,3,13,SP
AN5035,34,56,TM
AN1523,12,19,SP
AN1876,15,26,SP
AN11313,7,30,TM
AN7946,5,16,SP
AN7912,7,18,SP
AN6686,3,14,SP
AN5791,3,14,SP
AN7351,43,60,TM
AN8951,18,39,TM
AN6656,4,11,SP
AN7808,41,59,TM
AN7778,3,14,SP
AN9343,17,40,TM
AN1627,4,14,SP
AN1608,10,20,SP
AN5360,12,30,TM
AN10013,43,60,TM
AN6663,3,13,SP
AN10759,24,32,SP
AN3295,40,60,TM
AN5311,4,15,SP
AN1813,3,12,SP
AN5302,12,32,TM
AN5467,3,13,SP
AN11916,14,40,TM
AN4280,24,47,TM
AN5508,20,38,TM
AN5948,6,15,SP
AN2033,6,26,TM
AN5195,6,29,TM
AN8349,3,13,SP
AN2342,27,47,TM
AN6366,30,48,TM
AN2659,5,15,SP
AN2017,4,11,SP
AN9437,14,25,SP
AN9464,9,20,SP
AN9364,4,15,SP
AN9230,2,13,SP
AN0217,15,35,TM
AN8464,7,18,SP
AN10662,29,46,TM
AN7159,7,18,SP
AN11803,3,10,SP
AN7771,10,20,SP
AN6731,36,58,TM
AN20017,12,36,TM
AN1455,20,40,TM
AN11751,20,39,TM
AN6020,2,13,SP
AN4395,20,46,TM
AN10805,30,47,TM
AN6400,5,15,SP
AN4338,20,40,TM
AN8922,8,19,SP
AN20009,6,27,TM
AN6220,11,22,SP
AN12418,12,38,TM
AN7962,3,13,SP
AN4882,7,15,SP
AN3088,12,34,TM
AN4342,6,34,TM
AN3514,4,14,SP
AN9142,12,34,TM
AN7230,7,18,SP
AN7250,12,32,TM
AN7515,3,14,SP
AN11622,4,11,SP
AN11982,12,20,SP
AN4663,16,41,TM
AN6774,35,58,TM
AN8203,4,12,SP
AN4833,11,19,SP
AN3235,6,16,SP
AN1852,9,20,SP
AN10666,20,39,TM
AN9339,3,10,SP
AN2828,9,20,SP
AN7204,36,58,TM
AN4357,4,12,SP
AN2312,6,26,TM
AN5175,20,41,TM
AN6909,30,52,TM
AN3925,6,14,SP
AN7425,6,24,TM
AN4553,12,34,TM
AN3489,32,49,TM
AN2217,2,13,SP
AN12138,29,48,TM
AN1920,12,30,TM
AN10863,6,23,TM
AN4950,3,13,SP
AN6786,3,16,SP
AN9173,7,33,TM
AN4671,12,32,TM
AN10311,3,12,SP
AN2185,4,12,SP
AN4379,7,18,SP
AN7908,4,15,SP
AN4970,4,15,SP
AN8102,4,11,SP
AN6350,6,27,TM
AN3902,2,12,SP
AN3550,4,15,SP
AN1502,6,14,SP
AN8299,6,13,SP
AN6606,3,15,SP
AN10820,6,14,SP
AN6872,7,15,SP
AN3308,9,19,SP
AN3917,14,31,TM
AN3733,11,22,SP
AN3402,3,14,SP
AN2699,37,60,TM
AN10969,6,25,TM
AN10389,12,32,TM
AN4824,32,54,TM
AN3248,6,24,TM
AN12122,29,47,TM
AN7407,17,28,SP
AN0245,3,14,SP
AN1433,5,12,SP
AN10056,43,60,TM
AN12250,12,32,TM
AN11175,7,17,SP
AN8027,12,23,SP
AN1633,12,29,TM
AN7541,5,12,SP
AN1147,24,44,TM
AN5320,4,12,SP
AN8890,5,16,SP
AN12180,6,25,TM
AN7161,4,15,SP
AN8545,9,19,SP
AN10891,15,42,TM
AN8956,12,23,SP
AN8681,28,47,TM
AN1273,2,12,SP
AN4417,20,38,TM
AN7180,6,17,SP
AN8382,4,12,SP
AN10016,42,58,TM
AN2880,31,53,TM
AN0736,4,11,SP
AN10505,10,21,SP
AN9273,4,12,SP
AN2958,12,30,TM
AN0867,4,15,SP
AN7716,3,11,SP
AN7454,23,41,TM
AN1752,4,12,SP
AN6059,6,27,TM
AN5720,13,31,TM
AN11079,32,54,TM
AN8662,2,12,SP
AN2709,4,12,SP
AN5727,2,12,SP
AN0171,12,35,TM
AN2555,6,23,TM
AN5650,39,56,TM
AN3884,42,58,TM
AN7152,4,15,SP
AN8040,29,50,TM
AN1706,12,23,SP
AN8408,20,38,TM
AN2953,21,45,TM
AN4640,38,57,TM
AN20002,24,41,TM
AN8199,12,29,TM
AN0393,6,16,SP
AN7879,34,54,TM
AN9067,8,19,SP
AN4637,6,26,TM
AN4124,37,55,TM
AN3670,6,17,SP
AN1382,33,52,TM
AN11444,17,28,SP
AN3606,12,35,TM
AN0441,3,14,SP
AN7548,12,30,TM
AN1301,4,15,SP
AN5842,12,32,TM
AN20010,37,56,TM
AN4726,19,40,TM
AN6128,26,44,TM
AN2690,12,24,SP
AN0313,6,25,TM
AN6535,5,16,SP
AN10356,41,60,TM
AN1969,33,52,TM
AN8437,5,16,SP
AN7212,3,10,SP
AN6951,3,13,SP
AN7511,3,13,SP
AN2546,9,20,SP
AN10959,24,35,SP
AN0810,4,17,SP
AN3291,28,38,SP
AN3337,5,12,SP
AN2593,5,15,SP
AN1550,21,41,TM
AN5976,4,15,SP
AN8727,20,39,TM
AN3052,5,15,SP
AN1557,6,29,TM
AN3262,3,13,SP
AN7823,9,20,SP
AN8142,24,41,TM
AN12222,20,37,TM
AN6946,12,35,TM
AN7046,6,21,SP
AN6080,2,9,SP
AN1317,21,39,TM
AN10163,33,50,TM
AN10770,20,43,TM
AN2140,4,14,SP
AN9306,27,52,TM
AN7345,4,15,SP
AN5682,12,33,TM
AN2696,4,12,SP
AN6823,32,51,TM
AN6413,14,36,TM
AN10578,21,44,TM
AN4809,4,15,SP
AN2230,43,60,TM
AN2568,39,60,TM
AN1310,5,15,SP
AN7366,4,14,SP
AN5430,3,14,SP
AN0484,8,15,SP
AN10998,4,14,SP
AN0559,6,25,TM
AN3817,43,60,TM
AN8371,7,15,SP
AN1142,2,13,SP
AN10438,40,47,SP
AN12414,29,48,TM
AN9298,42,59,TM
AN10118,29,51,TM
AN10617,6,30,TM
AN10948,3,15,SP
AN6386,9,19,SP
AN2575,36,55,TM
AN4599,10,21,SP
AN11981,5,16,SP
AN6170,7,18,SP
AN11142,30,52,TM
AN8361,35,55,TM
AN6841,21,39,TM
AN8538,39,58,TM
AN9042,3,13,SP
AN3508,12,32,TM
AN7400,3,14,SP
AN5046,4,15,SP
AN11113,6,25,TM
AN3592,6,17,SP
AN6699,2,10,SP
AN5067,14,24,SP
AN10902,43,60,TM
AN6155,2,12,SP
AN8175,6,14,SP
AN7477,6,17,SP
AN8941,6,27,TM
AN5965,7,15,SP
AN6924,6,25,TM
AN5000,12,34,TM
AN7836,4,16,SP
AN0924,6,26,TM
AN3935,28,50,TM
AN1573,3,14,SP
AN2818,6,14,SP
AN2325,4,15,SP
AN10876,12,31,TM
AN9161,20,39,TM
AN0257,12,32,TM
AN0528,34,54,TM
AN2250,7,17,SP
AN7536,5,16,SP
AN0595,6,24,TM
AN2319,3,13,SP
AN3083,7,18,SP
AN7322,5,12,SP
AN3942,5,16,SP
AN1600,10,21,SP
AN6139,6,25,TM
AN1261,3,14,SP
AN9329,2,10,SP
AN3711,4,15,SP
AN7858,3,10,SP
AN2923,9,29,TM
AN11000,25,46,TM
AN7243,21,44,TM
AN9279,7,17,SP
AN12443,41,60,TM
AN6135,6,25,TM
AN7842,5,16,SP
AN1532,7,15,SP
AN5442,3,10,SP
AN8421,3,13,SP
AN7742,8,15,SP
AN1203,12,32,TM
AN2542,6,16,SP
AN0941,4,15,SP
AN0131,2,12,SP
AN6819,4,12,SP
AN7657,3,14,SP
AN0372,20,36,TM
AN0904,4,14,SP
AN9242,3,14,SP
AN0160,20,38,TM
AN9450,3,13,SP
AN1651,27,50,TM
AN8063,4,15,SP
AN10811,6,24,TM
AN2333,31,51,TM
AN12093,9,17,SP
AN0178,27,48,TM
AN4716,7,21,SP
AN0741,3,13,SP
AN5463,3,10,SP
AN8006,4,15,SP
AN7969,12,34,TM
AN4430,12,22,SP
AN3980,11,19,SP
AN10249,12,30,TM
AN11151,2,10,SP
AN7220,32,54,TM
AN1845,7,28,TM
AN8150,31,51,TM
AN9390,18,29,SP
AN1185,42,59,TM
AN3631,7,18,SP
AN0751,30,51,TM
AN7255,2,9,SP
AN9010,45,60,TM
AN10905,39,59,TM
AN3389,6,14,SP
AN20005,28,52,TM
AN0452,3,10,SP
AN12056,10,21,SP
AN10040,3,13,SP
AN11973,21,32,SP
AN4389,9,16,SP
AN9460,12,33,TM
AN5457,15,34,TM
AN10367,23,42,TM
AN8926,31,52,TM
AN10149,13,24,SP
AN6848,37,57,TM
AN11597,30,49,TM
AN0935,4,15,SP
AN7457,4,15,SP
AN1565,12,32,TM
AN0207,4,12,SP
AN6537,25,45,TM
AN1786,8,18,SP
AN0954,42,60,TM
AN7266,7,18,SP
AN8880,8,18,SP
AN1863,5,16,SP
AN2706,2,13,SP
AN1269,12,36,TM
AN2584,21,39,TM
AN10673,18,26,SP
AN11347,16,36,TM
AN3836,41,60,TM
AN8952,20,41,TM
AN1989,23,46,TM
AN4590,18,36,TM
AN3553,12,28,TM
AN9337,23,41,TM
AN10446,6,26,TM
AN3609,6,28,TM
AN5837,6,24,TM
AN1223,4,9,SP
AN7682,8,18,SP
AN8011,5,12,SP
AN7949,10,21,SP
AN6621,7,18,SP
AN10179,3,14,SP
AN7229,38,57,TM
AN7402,7,14,SP
AN6457,3,13,SP
AN10776,4,16,SP
AN8413,32,56,TM
AN8502,38,55,TM
AN1561,2,12,SP
AN11048,3,13,SP
AN0301,32,55,TM
AN11233,6,17,SP
AN2395,30,40,SP
AN5400,36,54,TM
AN3284,4,11,SP
AN6555,12,31,TM
AN3057,12,20,SP
AN11244,2,12,SP
AN10033,6,27,TM
AN5551,20,37,TM
AN2903,3,12,SP
AN8615,5,15,SP
AN0338,20,43,TM
AN8523,6,22,TM
AN8443,12,23,SP
AN6673,3,13,SP
AN9205,6,25,TM
AN1803,3,12,SP
AN4782,2,12,SP
AN0495,3,10,SP
AN10271,33,52,TM
AN4452,6,23,TM
AN1833,3,11,SP
AN1785,6,26,TM
AN2119,6,13,SP
AN7676,24,45,TM
AN2800,38,59,TM
AN7938,27,44,TM
AN12104,12,30,TM
AN7274,4,11,SP
AN7587,4,17,SP
AN6104,12,31,TM
AN4049,3,13,SP
AN2466,6,24,TM
AN3351,12,22,SP
AN6130,34,55,TM
AN7389,4,15,SP
AN2189,3,12,SP
AN7075,3,13,SP
AN0550,13,26,SP
AN1422,10,21,SP
AN10930,7,17,SP
AN7172,36,60,TM
AN2257,41,59,TM
AN5309,3,13,SP
AN9170,4,16,SP
AN9422,4,15,SP
AN3132,35,46,SP
AN6470,3,10,SP
AN7031,10,20,SP
AN6954,6,15,SP
AN5734,26,51,TM
AN6432,17,37,TM
AN2177,10,17,SP
AN4941,15,34,TM
AN1618,5,16,SP
AN8046,4,14,SP
AN2578,3,11,SP
AN10166,30,57,TM
AN0229,20,38,TM
AN4203,3,14,SP
AN2493,4,13,SP
AN9134,6,14,SP
AN0548,6,16,SP
AN6458,23,44,TM
AN1526,16,34,TM
AN11118,21,40,TM
AN1738,28,49,TM
AN4209,6,24,TM
AN8601,28,50,TM
AN11087,21,39,TM
AN6427,2,13,SP
AN7242,37,56,TM
AN1361,2,10,SP
AN11574,38,56,TM
AN8265,6,17,SP
AN1703,3,14,SP
AN3671,4,14,SP
AN5197,15,32,TM
AN9374,20,46,TM
AN2355,26,46,TM
AN11057,40,60,TM
AN6689,24,42,TM
AN8114,2,13,SP
AN4718,12,32,TM
AN7393,5,16,SP
AN8404,3,12,SP
AN11013,6,27,TM
AN9389,2,9,SP
AN3949,5,16,SP
AN10454,7,17,SP
AN8969,3,10,SP
AN2624,4,14,SP
AN2134,4,14,SP
AN12457,21,39,TM
AN2975,39,60,TM
AN4212,8,16,SP
AN6805,20,43,TM
AN1581,42,60,TM
AN7241,3,14,SP
AN7235,7,15,SP
AN10318,3,14,SP
AN5905,3,13,SP
AN11365,20,39,TM
AN12350,15,32,TM
AN4363,6,17,SP
AN4110,9,17,SP
AN10613,4,16,SP
AN0174,7,18,SP
AN0020,3,15,SP
AN0768,3,14,SP
AN11715,6,24,TM
AN5283,7,27,TM
AN3238,14,27,SP
AN1108,5,15,SP
AN7489,4,15,SP
AN8585,3,14,SP
AN3876,41,60,TM
AN6779,5,16,SP
AN5419,3,13,SP
AN6158,12,35,TM
AN12015,4,19,SP
AN8726,38,55,TM
AN7251,6,24,TM
AN6888,7,17,SP
AN5011,20,41,TM
AN2360,39,58,TM
AN5101,10,18,SP
AN10605,3,11,SP
AN8405,4,15,SP
AN7302,3,11,SP
AN6377,37,56,TM
AN1138,21,42,TM
AN2798,12,33,TM
AN0620,30,49,TM
AN1318,4,15,SP
AN3348,14,34,TM
AN1901,6,24,TM
AN8224,15,25,SP
AN10453,41,57,TM
AN5346,6,23,TM
AN7772,3,14,SP
AN1131,5,16,SP
AN8068,4,14,SP
AN7411,3,13,SP
AN0938,12,30,TM
AN12449,3,11,SP
AN6773,8,18,SP
AN3990,32,51,TM
AN8251,6,17,SP
AN5861,20,39,TM
AN7863,5,16,SP
AN7743,12,32,TM
AN7436,4,15,SP
AN8432,11,18,SP
AN7853,3,14,SP
AN8154,11,21,SP
AN1797,12,34,TM
AN0563,13,20,SP
AN7121,3,13,SP
AN4927,3,11,SP
AN3089,10,21,SP
AN10527,4,11,SP
AN9069,6,30,TM
AN7531,15,38,TM
AN7888,6,13,SP
AN3774,7,18,SP
AN0075,4,15,SP
AN6237,24,48,TM
AN0502,17,34,TM
AN2783,36,57,TM
AN5534,7,14,SP
AN4906,40,59,TM
AN11126,37,60,TM
AN8446,9,20,SP
AN7399,8,19,SP
AN3813,44,60,TM
AN7897,7,18,SP
AN1285,4,14,SP
AN1604,3,15,SP
AN1165,12,32,TM
AN8622,5,16,SP
AN0852,37,57,TM
AN1488,43,60,TM
