seqid,phobius_start,phobius_end,phobius_type
ZTRI_5.506,8,18,SP
ZTRI_12.284,12,37,TM
ZTRI_1.1579,28,48,TM
ZTRI_9.360,6,25,TM
ZTRI_13.152,10,21,SP
ZTRI_4.622,3,15,SP
ZTRI_1.1607,6,16,SP
ZTRI_2.212,6,23,TM
ZTRI_5.568,6,26,TM
ZTRI_9.16,3,13,SP
ZTRI_1.1492,6,14,SP
ZTRI_7.562,3,11,SP
ZTRI_5.251,12,31,TM
ZTRI_7.55,9,26,TM
ZTRI_5.412,3,14,SP
ZTRI_12.361,21,44,TM
ZTRI_7.479,17,28,SP
ZTRI_6.437,9,27,TM
ZTRI_16.88,6,24,TM
ZTRI_6.219,6,30,TM
ZTRI_1.677,12,33,TM
ZTRI_7.211,6,17,SP
ZTRI_5.466,5,13,SP
ZTRI_9.272,10,21,SP
ZTRI_2.1125,34,52,TM
ZTRI_2.1024,5,16,SP
ZTRI_13.239,3,14,SP
ZTRI_2.333,12,31,TM
ZTRI_5.766,18,41,TM
ZTRI_11.330,38,59,TM
ZTRI_7.159,6,17,SP
ZTRI_1.635,12,31,TM
ZTRI_6.49,7,18,SP
ZTRI_13.329,3,13,SP
ZTRI_1.1746.1,4,13,SP
ZTRI_10.103,12,30,TM
ZTRI_7.40,3,15,SP
ZTRI_11.378,21,47,TM
ZTRI_1.1462,4,12,SP
ZTRI_12.199,37,55,TM
ZTRI_2.712,12,29,TM
ZTRI_1.1523,5,13,SP
ZTRI_13.244,12,35,TM
ZTRI_1.1034,10,18,SP
ZTRI_10.128,7,17,SP
ZTRI_10.239,29,51,TM
ZTRI_9.357,15,35,TM
ZTRI_3.869,4,15,SP
ZTRI_5.277,3,14,SP
ZTRI_6.128,39,59,TM
ZTRI_2.651,2,12,SP
ZTRI_1.1352,4,11,SP
ZTRI_6.628,6,17,SP
ZTRI_12.172,12,33,TM
ZTRI_1.578,6,22,TM
ZTRI_4.254,33,50,TM
ZTRI_6.491,4,15,SP
ZTRI_13.166,7,17,SP
ZTRI_9.375,12,32,TM
