seqid,phobius_start,phobius_end,phobius_type
RO3G_12997,4,11,SP
RO3G_06564,20,43,TM
RO3G_01768,25,35,SP
RO3G_03324,4,15,SP
RO3G_10934,15,40,TM
RO3G_15952,4,13,SP
RO3G_02933,20,38,TM
RO3G_09409,20,46,TM
RO3G_04101,8,15,SP
RO3G_13526,20,47,TM
RO3G_11373,3,13,SP
RO3G_09128,6,25,TM
RO3G_11699,3,14,SP
RO3G_05587,3,13,SP
RO3G_06865,4,15,SP
RO3G_11313,3,13,SP
RO3G_03578,7,25,TM
RO3G_06805,7,17,SP
RO3G_15938,41,58,TM
RO3G_16597,8,16,SP
RO3G_16434,7,26,TM
RO3G_05990,39,57,TM
RO3G_16301,3,12,SP
RO3G_06097,12,30,TM
RO3G_01627,6,16,SP
RO3G_03471,6,32,TM
RO3G_02065,39,59,TM
RO3G_13585,7,18,SP
RO3G_00642,12,35,TM
RO3G_03343,12,32,TM
RO3G_00453,24,46,TM
RO3G_03748,16,36,TM
RO3G_09450,4,15,SP
RO3G_12188,6,16,SP
RO3G_09532,5,14,SP
RO3G_14140,35,55,TM
RO3G_00603,15,35,TM
RO3G_06871,38,59,TM
RO3G_05605,27,44,TM
RO3G_02887,4,15,SP
RO3G_12190,8,15,SP
RO3G_00719,38,58,TM
RO3G_01392,5,16,SP
RO3G_08551,20,43,TM
RO3G_11882,3,13,SP
RO3G_00776,15,37,TM
RO3G_02572,20,39,TM
RO3G_07796,38,56,TM
RO3G_06570,32,54,TM
RO3G_00943,6,25,TM
RO3G_01181,4,15,SP
RO3G_14029,12,30,TM
RO3G_05954,12,29,TM
RO3G_04002,2,9,SP
RO3G_01165,20,39,TM
RO3G_14105,6,26,TM
RO3G_07708,26,43,TM
RO3G_08986,12,32,TM
RO3G_00887,3,10,SP
RO3G_05727,28,50,TM
RO3G_09276,3,14,SP
RO3G_14935,3,14,SP
RO3G_07524,10,19,SP
RO3G_05305,2,13,SP
RO3G_00044,4,15,SP
RO3G_01016,3,14,SP
RO3G_07587,20,46,TM
