seqid,phobius_start,phobius_end,phobius_type
tr|A0A0D2UH62|A0A0D2UH62_CAPO3,2174,2203,TM
tr|A0A0D2WIQ2|A0A0D2WIQ2_CAPO3,18,42,TM
tr|A0A0D2U4B3|A0A0D2U4B3_CAPO3,431,449,TM
tr|A0A0D2U859|A0A0D2U859_CAPO3,3,14,SP
tr|A0A0D2UBY2|A0A0D2UBY2_CAPO3,870,891,TM
tr|A0A0D2UCR7|A0A0D2UCR7_CAPO3,9,19,SP
tr|A0A0D2UDP8|A0A0D2UDP8_CAPO3,2,10,SP
tr|A0A0D2UEC3|A0A0D2UEC3_CAPO3,41,62,TM
tr|A0A0D2UHJ2|A0A0D2UHJ2_CAPO3,293,309,TM
tr|A0A0D2VRP1|A0A0D2VRP1_CAPO3,944,970,TM
tr|A0A0D2W1H9|A0A0D2W1H9_CAPO3,1824,1846,TM
tr|A0A0D2W1M1|A0A0D2W1M1_CAPO3,3,14,SP
tr|A0A0D2WHA4|A0A0D2WHA4_CAPO3,2,9,SP
tr|A0A0D2WJR9|A0A0D2WJR9_CAPO3,78,98,TM
tr|A0A0D2WKZ3|A0A0D2WKZ3_CAPO3,31,52,TM
tr|A0A0D2WQR2|A0A0D2WQR2_CAPO3,688,712,TM
tr|A0A0D2WR14|A0A0D2WR14_CAPO3,6,28,TM
tr|A0A0D2WUC0|A0A0D2WUC0_CAPO3,3,11,SP
tr|A0A0D2WUC5|A0A0D2WUC5_CAPO3,22,33,SP
tr|A0A0D2WYQ8|A0A0D2WYQ8_CAPO3,1714,1736,TM
tr|A0A0D2X157|A0A0D2X157_CAPO3,407,425,TM
tr|A0A0D2X1M7|A0A0D2X1M7_CAPO3,12,29,TM
tr|A0A0D2X3C6|A0A0D2X3C6_CAPO3,21,48,TM
tr|A0A0D2U1L2|A0A0D2U1L2_CAPO3,9,20,SP
tr|A0A0D2U1Z8|A0A0D2U1Z8_CAPO3,142,165,TM
tr|A0A0D2U251|A0A0D2U251_CAPO3,175,194,TM
tr|A0A0D2U268|A0A0D2U268_CAPO3,21,42,TM
tr|A0A0D2U4J1|A0A0D2U4J1_CAPO3,4,15,SP
tr|A0A0D2U5G5|A0A0D2U5G5_CAPO3,11,22,SP
tr|A0A0D2U5Z4|A0A0D2U5Z4_CAPO3,6,25,TM
tr|A0A0D2U6A8|A0A0D2U6A8_CAPO3,8,16,SP
tr|A0A0D2U7W4|A0A0D2U7W4_CAPO3,2,13,SP
tr|A0A0D2U839|A0A0D2U839_CAPO3,6,25,TM
tr|A0A0D2U854|A0A0D2U854_CAPO3,3,13,SP
tr|A0A0D2U867|A0A0D2U867_CAPO3,759,784,TM
tr|A0A0D2U8W6|A0A0D2U8W6_CAPO3,210,235,TM
