seqid,phobius_start,phobius_end,phobius_type
sp|Q0MWV8|AURE_AURAU,6,18,SP
tr|A0A0A7BYZ7|A0A0A7BYZ7_AURAU,42,68,TM
tr|A0A0A7BZ47|A0A0A7BZ47_AURAU,41,71,TM
tr|A0A0A7BZ49|A0A0A7BZ49_AURAU,41,71,TM
tr|A0A0A7BZ56|A0A0A7BZ56_AURAU,41,67,TM
tr|A0A0A7BZI8|A0A0A7BZI8_AURAU,41,71,TM
tr|A0A0A7BZJ4|A0A0A7BZJ4_AURAU,34,60,TM
tr|A0A0A7BZM0|A0A0A7BZM0_AURAU,41,71,TM
tr|A0A1B0UDH1|A0A1B0UDH1_AURAU,12,40,TM
tr|A0A1B0UDJ8|A0A1B0UDJ8_AURAU,12,40,TM
tr|A0A1C7A5U3|A0A1C7A5U3_AURAU,12,40,TM
tr|A0A1C7A5U6|A0A1C7A5U6_AURAU,12,40,TM
tr|A0A1C7A5W4|A0A1C7A5W4_AURAU,12,40,TM
tr|A0A1C7A5X9|A0A1C7A5X9_AURAU,12,40,TM
tr|A0A1S6PDP2|A0A1S6PDP2_AURAU,40,70,TM
tr|A0A1S6PDS1|A0A1S6PDS1_AURAU,40,70,TM
tr|A0A2S1CQZ3|A0A2S1CQZ3_AURAU,42,72,TM
tr|E7CH87|E7CH87_AURAU,6,27,TM
tr|G8DLY8|G8DLY8_AURAU,20,41,TM
tr|H9XNT6|H9XNT6_AURAU,41,71,TM
tr|L7PFL8|L7PFL8_AURAU,7,27,TM
tr|L7PHZ2|L7PHZ2_AURAU,7,28,TM
tr|Q06LE8|Q06LE8_AURAU,20,41,TM
tr|Q3KTZ5|Q3KTZ5_AURAU,42,72,TM
tr|Q5VJP1|Q5VJP1_AURAU,42,72,TM
tr|A0A0A7BZE8|A0A0A7BZE8_AURAU,41,71,TM
tr|A0A0C5CJK3|A0A0C5CJK3_AURAU,7,25,TM
tr|A0A288W1R6|A0A288W1R6_AURAU,2,12,SP
tr|A0A386GU30|A0A386GU30_AURAU,7,29,TM
tr|A0A386GWE2|A0A386GWE2_AURAU,7,28,TM
tr|A0A8D7ZQZ7|A0A8D7ZQZ7_AURAU,35,61,TM
tr|A0A8D7ZR11|A0A8D7ZR11_AURAU,20,46,TM
tr|A0A8D7ZTN7|A0A8D7ZTN7_AURAU,35,61,TM
tr|A0A8D7ZTQ9|A0A8D7ZTQ9_AURAU,35,61,TM
tr|A0A8E3YYH4|A0A8E3YYH4_AURAU,12,37,TM
tr|A0A8E3YYT3|A0A8E3YYT3_AURAU,12,37,TM
tr|A0A8E3Z0J2|A0A8E3Z0J2_AURAU,12,37,TM
tr|A0A8E3Z1K5|A0A8E3Z1K5_AURAU,12,37,TM
tr|A0A8E4CZI2|A0A8E4CZI2_AURAU,12,37,TM
tr|A0A8E4CZJ3|A0A8E4CZJ3_AURAU,12,37,TM
tr|A0A8E4H6Y0|A0A8E4H6Y0_AURAU,12,37,TM
tr|A0A8E5I4F0|A0A8E5I4F0_AURAU,12,36,TM
tr|A0A8E5I4I0|A0A8E5I4I0_AURAU,6,29,TM
tr|A0A8E5MP59|A0A8E5MP59_AURAU,37,63,TM
tr|A0A8E5MPD7|A0A8E5MPD7_AURAU,31,49,TM
tr|A0AA48LAM8|A0AA48LAM8_AURAU,5,16,SP
tr|A0AA86IWH2|A0AA86IWH2_AURAU,198,221,TM
tr|A0MNL7|A0MNL7_AURAU,41,67,TM
tr|C8YXA3|C8YXA3_AURAU,42,68,TM
tr|G8DLY9|G8DLY9_AURAU,43,59,TM
tr|G8DLZ1|G8DLZ1_AURAU,23,42,TM
tr|G8DLZ2|G8DLZ2_AURAU,16,34,TM
tr|G8DLZ3|G8DLZ3_AURAU,6,22,TM
tr|G8DLZ4|G8DLZ4_AURAU,6,23,TM
tr|G8DLZ5|G8DLZ5_AURAU,12,42,TM
tr|G8DLZ6|G8DLZ6_AURAU,9,30,TM
tr|G8DLZ7|G8DLZ7_AURAU,6,23,TM
tr|G8DLZ8|G8DLZ8_AURAU,6,27,TM
tr|G8DLZ9|G8DLZ9_AURAU,6,23,TM
tr|G8DM00|G8DM00_AURAU,28,54,TM
tr|Q06LE9|Q06LE9_AURAU,36,56,TM
tr|Q06LF1|Q06LF1_AURAU,20,38,TM
tr|Q06LF2|Q06LF2_AURAU,16,34,TM
tr|Q06LF3|Q06LF3_AURAU,6,22,TM
tr|Q06LF4|Q06LF4_AURAU,6,24,TM
tr|Q06LF5|Q06LF5_AURAU,12,42,TM
tr|Q06LF6|Q06LF6_AURAU,12,31,TM
tr|Q06LF7|Q06LF7_AURAU,6,23,TM
tr|Q06LF8|Q06LF8_AURAU,6,27,TM
tr|Q06LF9|Q06LF9_AURAU,30,47,TM
tr|Q06LG0|Q06LG0_AURAU,28,50,TM
tr|Q3KTN0|Q3KTN0_AURAU,42,72,TM
tr|R9S1E5|R9S1E5_AURAU,6,14,SP
tr|A0A0C5IBS6|A0A0C5IBS6_AURAU,4,12,SP
tr|A0A1T4JH36|A0A1T4JH36_AURAU,7,25,TM
tr|A0A3G5BAY5|A0A3G5BAY5_AURAU,3,13,SP
tr|A1E172|A1E172_AURAU,30,41,SP
tr|E1CKX4|E1CKX4_AURAU,7,18,SP
tr|G8DLZ0|G8DLZ0_AURAU,12,32,TM
tr|I3VAS1|I3VAS1_AURAU,3,14,SP
tr|I3VAS2|I3VAS2_AURAU,5,14,SP
tr|Q06LF0|Q06LF0_AURAU,12,32,TM
tr|Q1KMS3|Q1KMS3_AURAU,27,38,SP
tr|Q5EN79|Q5EN79_AURAU,2,13,SP
tr|Q5EN87|Q5EN87_AURAU,29,37,SP
tr|R9S1E9|R9S1E9_AURAU,6,17,SP
tr|R9S1P6|R9S1P6_AURAU,3,14,SP
tr|R9S1P9|R9S1P9_AURAU,3,14,SP
tr|R9S1Q3|R9S1Q3_AURAU,2,13,SP
tr|R9S2G0|R9S2G0_AURAU,4,17,SP
tr|R9S2L5|R9S2L5_AURAU,68,87,TM
tr|R9YKM3|R9YKM3_AURAU,3,14,SP
tr|S5ZJ06|S5ZJ06_AURAU,5,16,SP
tr|A0A0A8P3J2|A0A0A8P3J2_AURAU,0,0,OTHER
tr|A0A0A8P4N2|A0A0A8P4N2_AURAU,0,0,OTHER
tr|A0A0A8P4P5|A0A0A8P4P5_AURAU,0,0,OTHER
tr|A0A0A8P4W4|A0A0A8P4W4_AURAU,0,0,OTHER
tr|A0A0A8P5L9|A0A0A8P5L9_AURAU,0,0,OTHER
tr|A0A0D6EYJ9|A0A0D6EYJ9_AURAU,0,0,OTHER
tr|A0A1T4JH11|A0A1T4JH11_AURAU,0,0,OTHER
tr|A0A288W1Q5|A0A288W1Q5_AURAU,0,0,OTHER
tr|A0A288W1R9|A0A288W1R9_AURAU,0,0,OTHER
tr|A0A288W1U3|A0A288W1U3_AURAU,0,0,OTHER
