seqid,phobius_start,phobius_end,phobius_type
YCR101C,3,16,SP
YHR215W,4,12,SP
YBL095W,12,34,TM
YDR329C,18,39,TM
YCR061W,4,15,SP
YPL119C-A,20,42,TM
YBR067C,7,18,SP
YDL222C,6,27,TM
YMR296C,25,46,TM
YFR018C,11,21,SP
YKL183C-A,12,39,TM
YGR121C,20,40,TM
YML075C,29,49,TM
YER061C,5,16,SP
YDR262W,7,18,SP
YLR411W,44,60,TM
YPR026W,42,60,TM
YMR274C,6,24,TM
YJL038C,6,22,TM
YHR028C,27,45,TM
YIL043C,6,25,TM
YGR231C,38,59,TM
YDR402C,6,16,SP
YNR044W,8,19,SP
YOR365C,12,19,SP
YIL005W,8,19,SP
YNR040W,41,59,TM
YDR246W-A,7,14,SP
YBR092C,4,12,SP
YJL028W,32,60,TM
YPR114W,38,57,TM
YPR091C,6,27,TM
YKL051W,12,34,TM
YLR308W,10,20,SP
YPR121W,2,13,SP
YMR148W,7,27,TM
YLR342W-A,6,25,TM
YCR044C,3,14,SP
YIL040W,40,58,TM
YBR147W,12,34,TM
YLR065C,20,37,TM
YNL280C,12,34,TM
YIL176C,4,15,SP
YBR042C,12,33,TM
YBR162C,8,18,SP
YKL021C,6,22,TM
YNR062C,16,37,TM
YJL034W,12,29,TM
YHR057C,3,14,SP
YOL162W,6,23,TM
YLR385C,7,16,SP
YER185W,20,42,TM
YGL022W,15,35,TM
YDR453C,34,55,TM
YPL154C,6,17,SP
YNL291C,4,15,SP
YOL107W,25,43,TM
YHR026W,20,38,TM
YGR028W,7,27,TM
YNR018W,20,38,TM
YDR525W-A,6,22,TM
YNL252C,10,15,SP
YGR282C,7,18,SP
YLR299W,12,33,TM
YDR518W,7,18,SP
YKR069W,5,15,SP
YLR080W,30,48,TM
YPR198W,5,16,SP
YOR020W-A,12,33,TM
Q0275,21,45,TM
YDL072C,6,26,TM
YIL049W,12,30,TM
YGL204C,22,40,TM
YGL168W,12,33,TM
YPL096C-A,7,28,TM
YLR307W,6,17,SP
YDR504C,22,52,TM
YBR085W,12,30,TM
YHR132C,7,18,SP
YDR410C,20,41,TM
YFR020W,7,15,SP
YBL017C,3,16,SP
YOR381W,4,15,SP
YLR403W,13,20,SP
YNL329C,3,14,SP
YGL041C-B,15,39,TM
YMR202W,6,25,TM
YMR126C,12,32,TM
YIL162W,3,14,SP
YLR283W,21,29,SP
YKR061W,14,25,SP
YAL042W,21,42,TM
YOR030W,6,23,TM
YLR454W,12,31,TM
YLR261C,8,15,SP
YBR096W,30,46,TM
YJR116W,36,54,TM
YDL052C,14,25,SP
YCR094W,39,59,TM
YLR253W,35,51,TM
YNL033W,10,21,SP
YKL175W,6,30,TM
YDR456W,5,15,SP
YML101C,6,21,TM
YKL037W,12,29,TM
YOR384W,6,14,SP
YOL154W,8,15,SP
YAL018C,3,13,SP
YEL002C,7,18,SP
YNL146C-A,2,8,SP
YPL277C,7,27,TM
YLR104W,6,17,SP
YHR007C-A,21,43,TM
YJL037W,10,21,SP
Q0085,39,57,TM
YMR175W-A,3,10,SP
YER053C-A,6,21,TM
YKL096C-B,31,48,TM
YGL200C,8,16,SP
YNL194C,6,28,TM
YBR255C-A,22,44,TM
YER044C,26,46,TM
YCL049C,6,17,SP
YBR106W,28,47,TM
YDR204W,21,38,TM
YJR151C,4,14,SP
YML038C,37,58,TM
YGL160W,23,44,TM
YCR041W,24,42,TM
YJR012C,17,38,TM
YFL021W,7,24,TM
YIL023C,3,14,SP
YNR021W,42,60,TM
YIL037C,20,43,TM
YEL043W,3,13,SP
YPL053C,12,29,TM
YBR074W,18,35,TM
YML012W,4,15,SP
YER182W,29,46,TM
YDR411C,37,59,TM
YDR437W,6,28,TM
YKL028W,20,39,TM
YLR020C,12,31,TM
YEL016C,29,47,TM
YFR042W,12,31,TM
YOL161C,4,15,SP
YDR307W,29,47,TM
YHR211W,7,19,SP
YCL057C-A,41,60,TM
Q0105,28,52,TM
YIL099W,11,19,SP
YDR144C,3,14,SP
YKL209C,26,47,TM
YJL004C,30,53,TM
YGL146C,34,52,TM
YDR055W,3,14,SP
YBR110W,6,32,TM
YGR089W,39,60,TM
YLR450W,25,44,TM
YDR090C,38,59,TM
