seqid,phobius_start,phobius_end,phobius_type
4R79.1a,5,13,SP
AC3.10,20,42,TM
AC3.1a,26,47,TM
AC3.1b,17,38,TM
AC3.2,480,505,TM
AC3.3,4,15,SP
AC3.4,3,14,SP
AC3.5a,80,101,TM
AC3.6,6,19,SP
AC3.7,490,518,TM
AC3.8,497,520,TM
AC7.1a,46,70,TM
AC7.1b,46,70,TM
AH10.2,174,193,TM
AH10.4,42,61,TM
AH6.1,495,519,TM
AH6.10,22,42,TM
AH6.11,25,45,TM
AH6.12,28,46,TM
AH6.14,22,46,TM
AH6.2,150,168,TM
AH6.3,6,23,TM
AH6.4,20,46,TM
AH6.5,8,16,SP
AH6.6,25,46,TM
AH6.7,25,45,TM
AH6.8,20,42,TM
AH9.1,20,40,TM
AH9.4,6,26,TM
AH9.6,247,266,TM
B0001.4a,7,15,SP
B0001.4c,7,15,SP
B0019.1,4,12,SP
B0024.1,6,30,TM
B0024.13,12,33,TM
B0024.14a,767,788,TM
B0024.14b,833,854,TM
B0024.14d,767,788,TM
B0024.14f,742,763,TM
B0024.15,7,25,TM
B0024.2,7,30,TM
B0024.3,192,215,TM
B0024.4,2,10,SP
B0024.6a,481,507,TM
B0024.6b,485,511,TM
B0024.9a,4,12,SP
B0025.5,47,72,TM
B0034.1,4,12,SP
B0034.3a,845,871,TM
B0034.3b,28,54,TM
B0034.3c,20,47,TM
B0034.3d,41,67,TM
B0034.4,4,15,SP
B0034.5,12,35,TM
B0035.13,3,13,SP
B0035.14a,279,299,TM
B0035.18,19,39,TM
B0035.2,4,15,SP
B0041.5a,12,32,TM
B0041.5c,12,32,TM
B0047.4,4,12,SP
B0198.1,30,52,TM
B0198.2a,12,37,TM
B0198.2b,12,37,TM
B0198.3a,464,485,TM
B0205.10,5,16,SP
B0205.12,2,12,SP
B0205.2a,33,59,TM
B0205.2b,12,38,TM
B0205.4,9,28,TM
B0207.10,53,76,TM
B0207.12a,158,177,TM
B0207.12b,253,277,TM
B0207.12c,6,16,SP
B0207.2,12,32,TM
B0207.5a,6,17,SP
B0207.5b,6,17,SP
B0207.9,23,49,TM
B0212.1a,54,72,TM
B0212.1b,191,209,TM
B0212.1c,70,88,TM
B0212.2,27,54,TM
B0212.4a,27,48,TM
B0212.4b,27,49,TM
B0212.4c,92,110,TM
B0212.4d,7,27,TM
B0212.5,391,409,TM
B0213.10,3,14,SP
B0213.11a,4,15,SP
B0213.12,2,10,SP
B0213.14,2,10,SP
B0213.15a,3,14,SP
B0213.15b,3,14,SP
B0213.16,2,12,SP
B0213.17,6,18,SP
B0213.2,31,49,TM
B0213.3,6,17,SP
B0213.4,6,17,SP
B0213.5,6,17,SP
B0213.6,6,17,SP
B0213.7,13,31,TM
B0213.8,13,31,TM
B0213.9,12,30,TM
B0218.1,2,10,SP
B0218.2,2,13,SP
B0218.6a,5,13,SP
B0218.8,5,16,SP
B0222.1,180,200,TM
B0222.11,9,20,SP
B0222.15,96,114,TM
B0222.2,27,47,TM
B0222.3,26,47,TM
B0222.5,3,12,SP
B0222.6,4,15,SP
B0222.7,4,15,SP
B0222.8,4,15,SP
B0228.1,2,12,SP
B0228.6,61,86,TM
B0228.8,4,13,SP
B0238.12,3,13,SP
B0238.15,6,27,TM
B0238.3,23,45,TM
B0238.5a,18,39,TM
B0238.6,12,33,TM
B0238.7,3,14,SP
B0238.8,6,27,TM
B0240.1,12,29,TM
B0240.2,83,102,TM
B0240.3a,337,358,TM
B0240.3b,119,140,TM
B0240.4,80,104,TM
B0244.10a,40,70,TM
B0244.10b,40,71,TM
B0244.15,48,73,TM
B0244.16,46,72,TM
B0244.17,46,74,TM
B0244.2,399,421,TM
B0244.4a,40,68,TM
B0244.4b,40,68,TM
B0244.4c,40,68,TM
B0244.5,42,64,TM
B0244.6,55,76,TM
B0244.7,48,73,TM
B0244.8,46,69,TM
B0244.9,51,69,TM
B0250.10,6,32,TM
B0250.2,18,37,TM
B0250.6,6,28,TM
B0250.9,47,66,TM
B0252.1,443,462,TM
B0252.11,18,39,TM
B0252.2,3,13,SP
B0252.3a,21,41,TM
B0252.3b,43,67,TM
B0252.3c,23,47,TM
B0252.8,4,15,SP
B0261.4b,4,11,SP
B0261.5,6,26,TM
B0261.9,29,39,SP
B0272.2,190,208,TM
B0273.3,14,27,SP
B0273.4a,339,362,TM
B0273.4b,339,362,TM
B0273.4c,367,390,TM
B0273.4d,231,254,TM
B0273.4e,172,195,TM
B0273.4f,76,98,TM
B0280.10a,320,340,TM
B0280.10b,73,93,TM
B0280.10c,299,319,TM
B0280.12a,553,575,TM
B0280.12b,622,644,TM
B0280.1a,247,264,TM
B0280.1b,247,264,TM
B0280.5,3,13,SP
B0280.7,4,14,SP
B0285.10,313,331,TM
B0285.5,15,25,SP
B0285.6,12,34,TM
B0285.7,16,41,TM
B0285.8,314,332,TM
B0286.2a,899,922,TM
B0286.2b,20,43,TM
B0294.1,21,32,SP
B0303.11a,24,42,TM
B0303.11b,24,42,TM
B0303.16,12,32,TM
B0303.3,4,12,SP
B0303.4,12,32,TM
B0303.8,164,187,TM
B0304.3,7,25,TM
B0304.5,31,50,TM
B0304.6,20,44,TM
B0304.7,29,47,TM
B0304.8,15,34,TM
B0304.9,28,47,TM
B0310.1a,107,127,TM
B0310.1b,16,37,TM
B0310.3,361,386,TM
B0310.5a,493,515,TM
B0310.5b,3,12,SP
B0310.6,4,13,SP
B0331.1,3,14,SP
B0331.2,16,35,TM
B0334.1,4,17,SP
