seqid,phobius_start,phobius_end,phobius_type
PGTG_14433,4,15,SP
PGTG_17233,6,17,SP
PGTG_13985,29,49,TM
PGTG_21730,6,14,SP
PGTG_21728,6,13,SP
PGTG_21155,3,14,SP
PGTG_07831,8,19,SP
PGTG_07809,4,14,SP
PGTG_01875,9,17,SP
PGTG_07618,9,20,SP
PGTG_03341,13,23,SP
PGTG_18964,23,45,TM
PGTG_18049,10,23,SP
PGTG_08907,4,16,SP
PGTG_09757,7,18,SP
PGTG_09292,9,31,TM
PGTG_20590,3,16,SP
PGTG_14762,5,16,SP
PGTG_13060,20,45,TM
PGTG_08359,3,13,SP
PGTG_03097,6,16,SP
PGTG_04458,2,12,SP
PGTG_02059,35,54,TM
PGTG_04289,2,9,SP
PGTG_08290,29,50,TM
PGTG_22724,3,10,SP
PGTG_17939,7,15,SP
PGTG_06874,3,14,SP
PGTG_21393,11,22,SP
PGTG_10147,4,15,SP
PGTG_16798,4,15,SP
PGTG_13812,30,56,TM
PGTG_15926,11,21,SP
PGTG_19199,8,18,SP
PGTG_13055,5,15,SP
PGTG_02458,37,56,TM
PGTG_05045,4,15,SP
PGTG_07258,12,31,TM
PGTG_16260,12,34,TM
PGTG_14243,4,15,SP
PGTG_02164,10,21,SP
PGTG_20351,2,12,SP
PGTG_01041,7,17,SP
PGTG_18983,5,15,SP
PGTG_04019,7,17,SP
PGTG_02381,8,19,SP
PGTG_08681,32,51,TM
PGTG_22443,15,36,TM
PGTG_17390,6,17,SP
PGTG_21479,7,15,SP
PGTG_04275,3,13,SP
PGTG_18108,3,10,SP
PGTG_09658,11,22,SP
PGTG_06313,6,24,TM
PGTG_19461,6,17,SP
PGTG_07904,4,15,SP
PGTG_21161,7,15,SP
PGTG_15834,6,14,SP
PGTG_17253,9,19,SP
PGTG_04246,25,48,TM
PGTG_17744,3,12,SP
PGTG_21420,20,38,TM
PGTG_02679,8,19,SP
PGTG_07500,4,15,SP
PGTG_01190,13,24,SP
PGTG_17241,6,25,TM
PGTG_14790,16,35,TM
PGTG_01869,5,14,SP
PGTG_12357,6,17,SP
PGTG_02778,20,40,TM
PGTG_13301,5,16,SP
PGTG_15327,4,11,SP
PGTG_11318,41,58,TM
PGTG_20680,10,20,SP
PGTG_12117,40,58,TM
PGTG_06896,7,17,SP
PGTG_07211,3,18,SP
PGTG_14519,13,24,SP
PGTG_21625,9,20,SP
PGTG_12293,6,14,SP
PGTG_06646,6,17,SP
PGTG_22039,8,16,SP
PGTG_04683,4,14,SP
PGTG_05463,6,16,SP
PGTG_08346,7,20,SP
PGTG_22732,34,55,TM
PGTG_11223,2,13,SP
PGTG_13458,4,14,SP
PGTG_20892,20,39,TM
PGTG_03674,3,14,SP
PGTG_07654,6,17,SP
PGTG_16075,6,25,TM
PGTG_04687,36,59,TM
PGTG_07872,4,16,SP
PGTG_00666,8,19,SP
PGTG_03902,24,53,TM
PGTG_17718,7,17,SP
PGTG_14887,6,16,SP
PGTG_06491,3,14,SP
PGTG_10993,6,25,TM
PGTG_03994,20,31,SP
PGTG_06206,4,14,SP
PGTG_10316,6,17,SP
PGTG_15474,5,15,SP
PGTG_13526,2,10,SP
PGTG_01781,20,41,TM
PGTG_14183,9,16,SP
PGTG_09592,4,15,SP
PGTG_03070,3,11,SP
PGTG_09377,4,15,SP
PGTG_19317,8,16,SP
PGTG_02069,7,15,SP
PGTG_13744,27,47,TM
PGTG_06124,7,27,TM
